TrialNumber,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,version,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
26,26,0,$9.00 ,-4.50,$0.00 ,won,9,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,0,$12.00 ,-12.00,$0.00 ,won,12,5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,0,$12.00 ,-18.00,$0.00 ,lost,-18,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,0,$6.00 ,-7.50,$0.00 ,lost,-7.5,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0,$2.00 ,-3.25,$0.00 ,won,2,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,0,$17.38 ,0.00,$7.31 ,lost,0,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,0,$8.00 ,-2.00,$0.00 ,won,8,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,version,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,0,HI- S1 --2,-0.75,$0.00 ,won,2,1.5,1.5,1,1.0,0.0,0.0,6.53972,1.0,8.547529,9.045637,2.007809,0.007808813,0.4981086,9.150752,0.6032233,-1.3967767,12.265597,3.1018913,3.1148453,0.01295396,12.279507,1.0012486,0.00124859,13.280755,6.7410355,13.295745,got here,14.795993,1.5,1.5002483,0.00024828498
2,2,0,$5.00 ,-3.13,$0.00 ,lost,-3.13,1.5,1.5,1,1.0,1.0,0.0,14.811175,6.0,16.813223,17.428724,2.0020473,0.002047405,0.6155012,17.533272,0.720049,-1.279951,20.531626,2.9844987,2.9983542,0.013855465,20.546114,1.001234,0.001234021,21.547348,6.736172,21.562923,got here,23.064,1.5,1.501076,0.00107604
