TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
20,20,$5.00 ,($2.50),$0.00 ,lost,($2.50),3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,$6.00 ,($4.50),$0.00 ,won,$6.00 ,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,$22.40 ,$0.00 ,$4.80 ,won,$22.40 ,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,$14.49 ,$0.00 ,$8.75 ,won,$14.49 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,$4.00 ,($0.33),$0.00 ,won,$4.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,$2.00 ,($3.75),$0.00 ,won,$2.00 ,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,$9.00 ,($4.50),$0.00 ,won,$9.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,$12.00 ,($12.00),$0.00 ,won,$12.00 ,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,$12.00 ,($18.00),$0.00 ,lost,($18.00),1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,$6.00 ,($7.50),$0.00 ,lost,($7.50),1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
