TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.165163,2.0,6.1707025,6.8370824,2.0055394,0.005539425,0.66638005,7.342822,1.1721199,-0.82788014,10.187319,2.83362,2.844497,0.010876987,10.202486,1.0011357,0.001135675,11.203622,7.038459,11.211353,got here,12.720591,1.5,1.5092367,0.009236703
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,12.737781,1.0,14.751492,15.234382,2.0137105,0.013710499,0.48289058,15.739903,0.98841226,-1.0115877,18.76908,3.0171094,3.0291765,0.012067065,18.783401,1.0005064,0.000506405,19.783907,7.046127,19.785141,got here,21.300058,1.5,1.5149173,0.014917247
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,21.315506,2.0,23.331957,23.881485,2.0164518,0.016451921,0.54952693,24.386639,1.0546813,-0.94531876,30.84957,6.450473,6.46293,0.012457103,30.863838,1.0007597,0.0007597001,31.8646,10.549093,31.866264,got here,33.381138,1.5,1.5148758,0.014875773
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,33.39815,999.0,35.41253,37.411057,2.014376,0.014376044,0.0,37.415653,2.0031254,0.003125418,44.428368,7.0,7.0127144,0.012714441,44.443268,1.0002567,0.00025669998,45.443527,12.045373,45.445145,got here,48.460632,3.0,3.0154858,0.015485756
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,1.0,4.0,48.475582,999.0,50.476162,52.490562,2.0005796,0.000579698,0.0,52.496693,2.02053,0.020529967,56.00711,3.5,3.5104184,0.010418428,56.024048,1.0004296,0.0004296659,57.02448,8.548898,57.025887,got here,58.539684,1.5,1.513797,0.013797019
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,1.0,5.0,58.55498,999.0,60.556004,62.57127,2.0010202,0.0010203021,0.0,62.577583,2.021583,0.02158304,69.58785,7.0,7.010265,0.010264776,69.60314,1.0005009,0.0005009712,70.60364,12.048658,70.60493,got here,73.62051,3.0,3.015581,0.01558093
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,1.0,6.0,73.63595,2.0,75.65181,76.06806,2.0158625,0.015862439,0.416254,76.5737,0.9218937,-1.0781063,81.16949,4.583746,4.5957823,0.012036227,81.18409,1.0007937,0.0007937059,82.18488,8.54894,82.18621,got here,83.70031,1.5,1.5141015,0.014101453
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,1.0,7.0,83.71562,1.0,85.71601,86.13236,2.000387,0.0003870132,0.41635165,86.63808,0.9220676,-1.0779324,89.73347,3.0836484,3.0953896,0.01174131,89.74738,1.000366,0.00036599394,90.74775,7.0321302,90.74913,got here,95.764626,5.0,5.015499,0.0154992305
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,1.0,8.0,95.77958,999.0,97.79485,99.794975,2.0152752,0.015275167,0.0,99.79987,2.0050159,0.005015748,103.311775,3.5,3.5119004,0.011900386,103.32681,1.001038,0.0010379162,104.32785,8.548266,104.32998,got here,107.346245,3.0,3.0162644,0.016264549
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,1.0,9.0,107.359535,999.0,109.3802,111.37548,2.0206623,0.020662336,0.0,111.380775,2.000579,0.00057900697,114.89253,3.5,3.5117526,0.0117526725,114.90941,1.0001721,0.00017210515,115.909584,8.550044,115.91096,got here,122.92513,7.0,7.0141726,0.014172535
