TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
65,1,HI- F3 -- 31.29,0.00,$8.36 ,won,31.29,5,1.5,3
66,1,$9.00 ,-0.75,$0.00 ,won,9,1.5,3,3
67,1,$6.00 ,-6.00,$0.00 ,won,6,5,5,3
68,1,$2.00 ,-3.25,$0.00 ,lost,-3.25,1.5,7,3
69,1,$6.00 ,-1.50,$0.00 ,won,6,1.5,3,3
70,1,$8.00 ,-15.00,$0.00 ,lost,-15,1.5,1.5,3
71,1,$13.35 ,0.00,$1.32 ,won,13.35,3,3,3
72,1,$14.49 ,0.00,$8.75 ,lost,0,3,5,3
73,1,$23.60 ,0.00,$12.20 ,lost,0,1.5,5,3
74,1,$5.00 ,-0.63,$0.00 ,won,5,3,1.5,3
75,1,$12.00 ,-9.00,$0.00 ,won,12,3,7,3
76,1,$2.00 ,-1.25,$0.00 ,won,2,3,1.5,3
77,1,$15.86 ,0.00,$8.07 ,lost,0,1.5,1.5,3
78,1,$2.00 ,-2.75,$0.00 ,lost,-2.75,1.5,5,3
79,1,$32.00 ,0.00,$0.00 ,lost,0,1.5,3,3
80,1,$16.29 ,0.00,$7.85 ,lost,0,1.5,3,3
81,1,$12.00 ,-12.00,$0.00 ,won,12,1.5,1.5,3
82,1,$6.00 ,-12.00,$0.00 ,lost,-12,3,5,3
83,1,$21.43 ,0.00,$13.29 ,lost,0,5,1.5,3
84,1,$12.00 ,-6.00,$0.00 ,won,12,1.5,7,3
85,1,$6.00 ,-0.25,$0.00 ,lost,-0.25,5,1.5,3
86,1,$6.00 ,-10.50,$0.00 ,lost,-10.5,3,3,3
87,1,$5.00 ,-1.88,$0.00 ,lost,-1.88,1.5,7,3
88,1,$6.00 ,-3.00,$0.00 ,lost,-3,1.5,1.5,3
89,1,$5.00 ,-5.00,$0.00 ,won,5,1.5,1.5,3
90,1,$7.81 ,0.00,$4.10 ,won,7.81,1.5,1.5,3
91,1,$5.00 ,-2.50,$0.00 ,won,5,1.5,5,3
92,1,$12.00 ,-15.00,$0.00 ,won,12,1.5,1.5,3
93,1,$10.00 ,-13.75,$0.00 ,won,10,5,1.5,3
94,1,$9.00 ,-9.00,$0.00 ,lost,-9,5,3,3
95,1,$9.82 ,0.00,$3.09 ,won,9.82,3,3,3
96,1,$8.00 ,-7.00,$0.00 ,won,8,1.5,1.5,3
