TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
1,1,HI- F1 -- 17.38,0.00,$7.31 ,won,17.38,1.5,1.5,1
2,1,$4.00 ,-3.00,$0.00 ,won,4,5,1.5,1
3,1,$5.00 ,-3.13,$0.00 ,won,5,3,1.5,1
4,1,$10.00 ,-16.25,$0.00 ,lost,-16.25,1.5,3,1
5,1,$9.00 ,-2.25,$0.00 ,lost,-2.25,5,1.5,1
6,1,$18.65 ,0.00,$6.68 ,won,18.65,1.5,3,1
7,1,$4.00 ,-0.33,$0.00 ,lost,-0.33,5,1.5,1
8,1,$26.76 ,0.00,$10.62 ,lost,0,1.5,5,1
9,1,$22.47 ,0.00,$12.76 ,won,22.47,1.5,3,1
10,1,$9.00 ,-4.50,$0.00 ,won,9,5,7,1
11,1,$9.00 ,-15.75,$0.00 ,lost,-15.75,3,5,1
12,1,$6.87 ,0.00,$4.57 ,won,6.87,5,5,1
13,1,$4.00 ,-6.00,$0.00 ,lost,-6,1.5,1.5,1
14,1,$10.00 ,-6.25,$0.00 ,won,10,3,3,1
15,1,$10.00 ,-8.75,$0.00 ,won,10,1.5,5,1
16,1,$12.00 ,-18.00,$0.00 ,won,12,3,1.5,1
17,1,$4.00 ,-1.00,$0.00 ,won,4,1.5,1.5,1
18,1,$4.00 ,-2.00,$0.00 ,lost,-2,1.5,5,1
19,1,$13.25 ,0.00,$9.37 ,lost,0,1.5,1.5,1
20,1,$8.00 ,-11.00,$0.00 ,won,8,3,3,1
21,1,$16.79 ,0.00,$7.60 ,lost,0,1.5,7,1
22,1,$6.00 ,-4.50,$0.00 ,lost,-4.5,3,3,1
23,1,$9.00 ,-6.75,$0.00 ,lost,-6.75,1.5,1.5,1
24,1,$2.00 ,-3.75,$0.00 ,won,2,1.5,1.5,1
25,1,$10.00 ,-0.42,$0.00 ,lost,-0.42,5,7,1
26,1,$22.40 ,0.00,$4.80 ,won,22.4,1.5,5,1
27,1,$12.00 ,-3.00,$0.00 ,lost,-3,1.5,7,1
28,1,$5.00 ,-8.13,$0.00 ,won,5,1.5,3,1
29,1,$2.00 ,-0.75,$0.00 ,won,2,1.5,3,1
30,1,$8.00 ,-2.00,$0.00 ,lost,-2,1.5,1.5,1
31,1,$4.00 ,-7.00,$0.00 ,lost,-7,3,1.5,1
32,1,$6.00 ,-9.00,$0.00 ,lost,-9,3,1.5,1
