TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
33,1,HI- F2 -- 8.22,0.00,$3.89 ,won,8.22,1.5,5,2
34,1,$2.00 ,-1.75,$0.00 ,lost,-1.75,3,1.5,2
35,1,$5.00 ,-4.38,$0.00 ,lost,-4.38,5,5,2
36,1,$4.00 ,-0.67,$0.00 ,lost,-0.67,1.5,3,2
37,1,$12.00 ,-24.00,$0.00 ,won,12,1.5,5,2
38,1,$8.00 ,-9.00,$0.00 ,won,8,3,7,2
39,1,$10.00 ,-11.25,$0.00 ,won,10,3,3,2
40,1,$4.00 ,-5.00,$0.00 ,lost,-5,1.5,1.5,2
41,1,$8.00 ,-6.00,$0.00 ,lost,-6,1.5,7,2
42,1,$25.76 ,0.00,$11.12 ,won,25.76,3,1.5,2
43,1,$8.49 ,0.00,$3.76 ,lost,0,1.5,3,2
44,1,$5.00 ,-6.88,$0.00 ,won,5,1.5,5,2
45,1,$24.21 ,0.00,$11.89 ,lost,0,1.5,7,2
46,1,$9.00 ,-11.25,$0.00 ,won,9,1.5,3,2
47,1,$10.00 ,-3.75,$0.00 ,lost,-3.75,3,7,2
48,1,$12.00 ,-21.00,$0.00 ,lost,-21,5,1.5,2
49,1,$8.80 ,0.00,$3.60 ,lost,0,5,5,2
50,1,$10.00 ,-1.25,$0.00 ,lost,-1.25,3,1.5,2
51,1,$15.28 ,0.00,$8.36 ,lost,0,1.5,1.5,2
52,1,$2.00 ,-2.25,$0.00 ,won,2,1.5,3,2
53,1,$7.36 ,0.00,$4.32 ,lost,0,1.5,1.5,2
54,1,$4.00 ,-4.00,$0.00 ,won,4,1.5,3,2
55,1,$8.00 ,-1.33,$0.00 ,won,8,5,3,2
56,1,$8.00 ,-3.00,$0.00 ,lost,-3,1.5,1.5,2
57,1,$5.00 ,-5.63,$0.00 ,won,5,3,1.5,2
58,1,$10.67 ,0.00,$10.67 ,won,10.67,1.5,1.5,2
59,1,$6.00 ,-7.50,$0.00 ,won,6,1.5,1.5,2
60,1,$24.92 ,0.00,$11.54 ,lost,0,1.5,3,2
61,1,$8.00 ,0.00,$4.00 ,won,8,5,1.5,2
62,1,$8.00 ,-13.00,$0.00 ,lost,-13,1.5,5,2
63,1,$8.00 ,-5.00,$0.00 ,lost,-5,5,1.5,2
64,1,$9.00 ,-13.50,$0.00 ,won,9,3,1.5,2
