"","Subject","Partner","SubTrial","Sex","Age","TrialType","Response","RT","RealOutcome","ScheduledOutcome","GambleAmount","Amount1","Amount2","Certain"
"1",153,0,1,1,19,0,1,56,1,1,10,10,0,6
"2",153,0,2,1,19,1,NA,NA,NA,0,-15.75,9,-15.75,0
"3",153,0,3,1,19,1,1,539,0,0,-8.75,10,-8.75,0
"4",153,0,4,1,19,1,NA,NA,NA,1,8,8,-2,0
"5",153,0,5,1,19,1,0,71,3,0,-12,6,-12,0
"6",153,0,6,1,19,1,0,828,3,0,-18.75,10,-18.75,0
"7",153,0,7,1,19,1,1,34,1,1,5,5,-8.13,0
"8",153,0,8,1,19,0,1,167,0,0,0,12,0,4
"9",153,0,9,1,19,1,1,197,1,1,9,9,-9,0
"10",153,0,10,1,19,0,0,106,3,0,0,22,0,13
"11",153,0,11,1,19,1,1,160,0,0,-7,8,-7,0
"12",153,0,12,1,19,1,0,326,3,1,4,4,-8,0
"13",153,0,13,1,19,0,1,27,1,1,25,25,0,9
"14",153,0,14,1,19,1,1,25,0,0,-3.75,2,-3.75,0
"15",153,0,15,1,19,1,1,286,1,1,2,2,-1.25,0
"16",153,0,16,1,19,1,0,124,3,1,6,6,-9,0
"17",153,0,17,1,19,0,1,218,1,1,13,13,0,6
"18",153,0,18,1,19,1,0,48,3,0,-4,4,-4,0
"19",153,0,19,1,19,0,1,149,1,1,7,7,0,3
"20",153,0,20,1,19,0,0,171,3,1,3.25,3.25,0,1
"21",153,0,21,1,19,1,1,144,1,1,4,4,-1,0
"22",153,0,22,1,19,0,0,1998,3,0,0,8,0,4.25
"23",153,0,23,1,19,0,1,506,0,0,0,17,0,9
"24",153,0,24,1,19,1,1,368,1,1,12,12,-18,0
"25",153,0,25,1,19,1,0,182,3,0,-5,5,-5,0
"26",153,0,26,1,19,0,NA,NA,NA,1,4,4,0,2.25
"27",153,0,27,1,19,1,NA,NA,NA,0,-9,12,-9,0
