Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-182-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	19	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	19	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	19	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	19	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	19	LASelfGain	1	451	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	451.00
2	Self1	SelfTask	2	female	19	LASelfMixed	2	537	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	537.00
2	Self1	SelfTask	3	female	19	LASelfMixed	1	238	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	238.00
2	Self1	SelfTask	4	female	19	LASelfMixed	2	492	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	492.00
2	Self1	SelfTask	5	female	19	LASelfMixed	2	137	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	137.00
2	Self1	SelfTask	6	female	19	LASelfMixed		0	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	7	female	19	LASelfMixed	2	564	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	564.00
2	Self1	SelfTask	8	female	19	LASelfGain	1	579	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	579.00
2	Self1	SelfTask	9	female	19	LASelfMixed	1	64	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	64.00
2	Self1	SelfTask	10	female	19	LASelfGain	2	190	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	190.00
2	Self1	SelfTask	11	female	19	LASelfMixed	2	20	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	20.00
2	Self1	SelfTask	12	female	19	LASelfMixed	2	9	List4	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	9.00
2	Self1	SelfTask	13	female	19	LASelfGain	1	166	List4	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	166.00
2	Self1	SelfTask	14	female	19	LASelfMixed	2	155	List4	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	155.00
2	Self1	SelfTask	15	female	19	LASelfMixed	1	210	List4	won	$2.00	$2.00	-$1.25	$0.00	Mean Response.RT	210.00
2	Self1	SelfTask	16	female	19	LASelfMixed	2	743	List4	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	743.00
2	Self1	SelfTask	17	female	19	LASelfGain	1	781	List4	won	$13.00	$13.00	$0.00	$6.00	Mean Response.RT	781.00
2	Self1	SelfTask	18	female	19	LASelfMixed	2	59	List4	lost	-$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	59.00
