Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-173-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	23	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	23	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	23	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	23	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	23	LASelfGain	1	244	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	244.00
2	Self1	SelfTask	2	female	23	LASelfMixed	2	546	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	546.00
2	Self1	SelfTask	3	female	23	LASelfMixed	2	351	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	351.00
2	Self1	SelfTask	4	female	23	LASelfMixed	2	580	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	580.00
2	Self1	SelfTask	5	female	23	LASelfMixed	2	331	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	331.00
2	Self1	SelfTask	6	female	23	LASelfMixed	2	480	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	480.00
