Analysis name: SLA_Madison																
Column conditions: None																
"Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain"																
Statistics: BFBlockInstructions.RTTime:Mean																
Filters: None																
Data file: SLA_Empathy_v1-156-1																
File does not have data alterations.																
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	20	PracticeMixed	NULL	NULL	List14	won	$5.00 	$5.00 	($3.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
1	PracticeTrials	Instructions	2	female	20	PracticeMixed	NULL	NULL	List14	lost	($2.00)	$4.00 	($2.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
1	PracticeTrials	Instructions	3	female	20	PracticeGain	NULL	NULL	List14	won	$7.00 	$7.00 	$0.00 	$2.00 	Mean BFBlockInstructions.RTTime	N/A
1	PracticeTrials	Instructions	4	female	20	PracticeGain	NULL	NULL	List14	lost	$0.00 	$8.00 	$0.00 	$4.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	1	female	20	LASelfGain	1	50	List4	won	$10.00 	$10.00 	$0.00 	$6.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	2	female	20	LASelfMixed	2	448	List4	lost	($15.75)	$9.00 	($15.75)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	3	female	20	LASelfMixed	2	885	List4	lost	($8.75)	$10.00 	($8.75)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	4	female	20	LASelfMixed	1	1171	List4	won	$8.00 	$8.00 	($2.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	5	female	20	LASelfMixed	2	665	List4	lost	($12.00)	$6.00 	($12.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	6	female	20	LASelfMixed	2	798	List4	lost	($18.75)	$10.00 	($18.75)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	7	female	20	LASelfMixed		0	List4	won	$5.00 	$5.00 	($8.13)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	8	female	20	LASelfGain	1	345	List4	lost	$0.00 	$12.00 	$0.00 	$4.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	9	female	20	LASelfMixed	1	1238	List4	won	$9.00 	$9.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	10	female	20	LASelfGain	2	1291	List4	lost	$0.00 	$22.00 	$0.00 	$13.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	11	female	20	LASelfMixed	2	898	List4	lost	($7.00)	$8.00 	($7.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	12	female	20	LASelfMixed	2	775	List4	won	$4.00 	$4.00 	($8.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	13	female	20	LASelfGain	1	677	List4	won	$25.00 	$25.00 	$0.00 	$9.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	14	female	20	LASelfMixed	2	1210	List4	lost	($3.75)	$2.00 	($3.75)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	15	female	20	LASelfMixed	2	632	List4	won	$2.00 	$2.00 	($1.25)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	16	female	20	LASelfMixed	2	565	List4	won	$6.00 	$6.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	17	female	20	LASelfGain	1	522	List4	won	$13.00 	$13.00 	$0.00 	$6.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	18	female	20	LASelfMixed	2	1656	List4	lost	($4.00)	$4.00 	($4.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	19	female	20	LASelfGain	1	607	List4	won	$7.00 	$7.00 	$0.00 	$3.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	20	female	20	LASelfGain	1	740	List4	won	$3.25 	$3.25 	$0.00 	$1.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	21	female	20	LASelfMixed		0	List4	won	$4.00 	$4.00 	($1.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	22	female	20	LASelfGain	1	383	List4	lost	$0.00 	$8.00 	$0.00 	$4.25 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	23	female	20	LASelfGain	1	460	List4	lost	$0.00 	$17.00 	$0.00 	$9.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	24	female	20	LASelfMixed	2	818	List4	won	$12.00 	$12.00 	($18.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	25	female	20	LASelfMixed	2	1360	List4	lost	($5.00)	$5.00 	($5.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	26	female	20	LASelfGain	1	501	List4	won	$4.00 	$4.00 	$0.00 	$2.25 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	27	female	20	LASelfMixed	2	755	List4	lost	($9.00)	$12.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	28	female	20	LASelfMixed	2	585	List4	won	$8.00 	$8.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	29	female	20	LASelfMixed	1	799	List4	lost	($4.38)	$5.00 	($4.38)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self1	SelfTask	30	female	20	LASelfMixed	2	331	List4	lost	($13.00)	$8.00 	($13.00)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self2	SelfTask	1	female	20	LASelfMixed	2	1112	List5	lost	($2.25)	$2.00 	($2.25)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self2	SelfTask	2	female	20	LASelfMixed	1	998	List5	won	$6.00 	$6.00 	($4.50)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self2	SelfTask	3	female	20	LASelfMixed	2	1306	List5	won	$2.00 	$2.00 	($3.25)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self2	SelfTask	4	female	20	LASelfGain	1	280	List5	lost	$0.00 	$22.00 	$0.00 	$10.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self2	SelfTask	5	female	20	LASelfMixed	2	573	List5	won	$9.00 	$9.00 	($4.50)	$0.00 	Mean BFBlockInstructions.RTTime	N/A
2	Self2	SelfTask	6	female	20	LASelfGain	1	571	List5	won	$17.00 	$17.00 	$0.00 	$10.00 	Mean BFBlockInstructions.RTTime	N/A
