Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-166-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	18	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	18	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	18	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	18	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	18	LASelfGain	1	519	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	519.00
2	Self1	SelfTask	2	female	18	LASelfMixed	2	389	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	389.00
2	Self1	SelfTask	3	female	18	LASelfMixed		0	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	4	female	18	LASelfMixed	1	726	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	726.00
2	Self1	SelfTask	5	female	18	LASelfMixed	2	396	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	396.00
2	Self1	SelfTask	6	female	18	LASelfMixed	2	626	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	626.00
2	Self1	SelfTask	7	female	18	LASelfMixed	2	736	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	736.00
2	Self1	SelfTask	8	female	18	LASelfGain	1	454	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	454.00
2	Self1	SelfTask	9	female	18	LASelfMixed	2	468	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	468.00
2	Self1	SelfTask	10	female	18	LASelfGain	1	336	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	336.00
2	Self1	SelfTask	11	female	18	LASelfMixed	2	446	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	446.00
2	Self1	SelfTask	12	female	18	LASelfMixed	2	972	List4	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	972.00
2	Self1	SelfTask	13	female	18	LASelfGain	1	314	List4	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	314.00
2	Self1	SelfTask	14	female	18	LASelfMixed	2	592	List4	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	592.00
2	Self1	SelfTask	15	female	18	LASelfMixed	1	598	List4	won	$2.00	$2.00	-$1.25	$0.00	Mean Response.RT	598.00
2	Self1	SelfTask	16	female	18	LASelfMixed	2	276	List4	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	276.00
2	Self1	SelfTask	17	female	18	LASelfGain	1	328	List4	won	$13.00	$13.00	$0.00	$6.00	Mean Response.RT	328.00
2	Self1	SelfTask	18	female	18	LASelfMixed	2	422	List4	lost	-$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	422.00
2	Self1	SelfTask	19	female	18	LASelfGain	1	587	List4	won	$7.00	$7.00	$0.00	$3.00	Mean Response.RT	587.00
2	Self1	SelfTask	20	female	18	LASelfGain	1	433	List4	won	$3.25	$3.25	$0.00	$1.00	Mean Response.RT	433.00
2	Self1	SelfTask	21	female	18	LASelfMixed	2	552	List4	won	$4.00	$4.00	-$1.00	$0.00	Mean Response.RT	552.00
2	Self1	SelfTask	22	female	18	LASelfGain	1	341	List4	lost	$0.00	$8.00	$0.00	$4.25	Mean Response.RT	341.00
2	Self1	SelfTask	23	female	18	LASelfGain	1	539	List4	lost	$0.00	$17.00	$0.00	$9.00	Mean Response.RT	539.00
2	Self1	SelfTask	24	female	18	LASelfMixed	2	351	List4	won	$12.00	$12.00	-$18.00	$0.00	Mean Response.RT	351.00
2	Self1	SelfTask	25	female	18	LASelfMixed	2	357	List4	lost	-$5.00	$5.00	-$5.00	$0.00	Mean Response.RT	357.00
2	Self1	SelfTask	26	female	18	LASelfGain	1	386	List4	won	$4.00	$4.00	$0.00	$2.25	Mean Response.RT	386.00
2	Self1	SelfTask	27	female	18	LASelfMixed	2	664	List4	lost	-$9.00	$12.00	-$9.00	$0.00	Mean Response.RT	664.00
2	Self1	SelfTask	28	female	18	LASelfMixed	2	406	List4	won	$8.00	$8.00	-$9.00	$0.00	Mean Response.RT	406.00
2	Self1	SelfTask	29	female	18	LASelfMixed	2	348	List4	lost	-$4.38	$5.00	-$4.38	$0.00	Mean Response.RT	348.00
2	Self1	SelfTask	30	female	18	LASelfMixed	2	464	List4	lost	-$13.00	$8.00	-$13.00	$0.00	Mean Response.RT	464.00
2	Self2	SelfTask	1	female	18	LASelfMixed	2	637	List5	lost	-$2.25	$2.00	-$2.25	$0.00	Mean Response.RT	637.00
2	Self2	SelfTask	2	female	18	LASelfMixed	2	587	List5	won	$6.00	$6.00	-$4.50	$0.00	Mean Response.RT	587.00
2	Self2	SelfTask	3	female	18	LASelfMixed	2	641	List5	won	$2.00	$2.00	-$3.25	$0.00	Mean Response.RT	641.00
2	Self2	SelfTask	4	female	18	LASelfGain	1	543	List5	lost	$0.00	$22.00	$0.00	$10.00	Mean Response.RT	543.00
2	Self2	SelfTask	5	female	18	LASelfMixed	2	300	List5	won	$9.00	$9.00	-$4.50	$0.00	Mean Response.RT	300.00
2	Self2	SelfTask	6	female	18	LASelfGain	1	472	List5	won	$17.00	$17.00	$0.00	$10.00	Mean Response.RT	472.00
2	Self2	SelfTask	7	female	18	LASelfGain	1	414	List5	won	$4.00	$4.00	$0.00	$2.00	Mean Response.RT	414.00
2	Self2	SelfTask	8	female	18	LASelfMixed	2	780	List5	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	780.00
2	Self2	SelfTask	9	female	18	LASelfGain	1	482	List5	won	$11.00	$11.00	$0.00	$6.00	Mean Response.RT	482.00
2	Self2	SelfTask	10	female	18	LASelfGain	1	431	List5	lost	$0.00	$7.00	$0.00	$4.00	Mean Response.RT	431.00
2	Self2	SelfTask	11	female	18	LASelfMixed	2	309	List5	lost	-$3.75	$10.00	-$3.75	$0.00	Mean Response.RT	309.00
2	Self2	SelfTask	12	female	18	LASelfMixed	2	410	List5	won	$12.00	$12.00	-$24.00	$0.00	Mean Response.RT	410.00
2	Self2	SelfTask	13	female	18	LASelfMixed	2	399	List5	lost	-$10.50	$6.00	-$10.50	$0.00	Mean Response.RT	399.00
2	Self2	SelfTask	14	female	18	LASelfMixed	2	325	List5	lost	-$9.38	$5.00	-$9.38	$0.00	Mean Response.RT	325.00
2	Self2	SelfTask	15	female	18	LASelfMixed	2	619	List5	won	$8.00	$8.00	-$5.00	$0.00	Mean Response.RT	619.00
2	Self2	SelfTask	16	female	18	LASelfMixed	2	433	List5	won	$5.00	$5.00	-$3.13	$0.00	Mean Response.RT	433.00
2	Self2	SelfTask	17	female	18	LASelfGain	1	535	List5	lost	$0.00	$30.00	$0.00	$12.00	Mean Response.RT	535.00
2	Self2	SelfTask	18	female	18	LASelfMixed	2	341	List5	won	$4.00	$4.00	-$7.00	$0.00	Mean Response.RT	341.00
2	Self2	SelfTask	19	female	18	LASelfMixed		0	List5	won	$10.00	$10.00	-$13.75	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	20	female	18	LASelfMixed	2	1999	List5	lost	-$15.00	$8.00	-$15.00	$0.00	Mean Response.RT	1999.00
2	Self2	SelfTask	21	female	18	LASelfGain	1	404	List5	won	$24.00	$24.00	$0.00	$12.00	Mean Response.RT	404.00
2	Self2	SelfTask	22	female	18	LASelfMixed	2	466	List5	lost	-$15.00	$12.00	-$15.00	$0.00	Mean Response.RT	466.00
2	Self2	SelfTask	23	female	18	LASelfMixed	2	417	List5	lost	-$18.00	$9.00	-$18.00	$0.00	Mean Response.RT	417.00
2	Self2	SelfTask	24	female	18	LASelfGain	1	294	List5	won	$13.00	$13.00	$0.00	$5.00	Mean Response.RT	294.00
2	Self2	SelfTask	25	female	18	LASelfMixed	2	388	List5	won	$2.00	$2.00	-$0.75	$0.00	Mean Response.RT	388.00
2	Self2	SelfTask	26	female	18	LASelfMixed	2	489	List5	lost	-$6.00	$12.00	-$6.00	$0.00	Mean Response.RT	489.00
2	Self2	SelfTask	27	female	18	LASelfGain	1	502	List5	lost	$0.00	$8.00	$0.00	$3.00	Mean Response.RT	502.00
2	Self2	SelfTask	28	female	18	LASelfMixed	2	484	List5	won	$8.00	$8.00	-$6.00	$0.00	Mean Response.RT	484.00
2	Self2	SelfTask	29	female	18	LASelfMixed	2	594	List5	lost	-$5.00	$4.00	-$5.00	$0.00	Mean Response.RT	594.00
2	Self2	SelfTask	30	female	18	LASelfMixed	2	632	List5	lost	-$6.00	$6.00	-$6.00	$0.00	Mean Response.RT	632.00
2	Self3	SelfTask	1	female	18	LASelfMixed	2	661	List6	won	$9.00	$9.00	-$11.25	$0.00	Mean Response.RT	661.00
2	Self3	SelfTask	2	female	18	LASelfMixed	2	372	List6	won	$12.00	$12.00	-$21.00	$0.00	Mean Response.RT	372.00
2	Self3	SelfTask	3	female	18	LASelfMixed	2	321	List6	won	$5.00	$5.00	-$6.88	$0.00	Mean Response.RT	321.00
2	Self3	SelfTask	4	female	18	LASelfMixed	2	335	List6	lost	-$3.00	$12.00	-$3.00	$0.00	Mean Response.RT	335.00
2	Self3	SelfTask	5	female	18	LASelfGain	1	293	List6	won	$5.00	$5.00	$0.00	$2.00	Mean Response.RT	293.00
2	Self3	SelfTask	6	female	18	LASelfMixed	2	353	List6	lost	-$6.75	$9.00	-$6.75	$0.00	Mean Response.RT	353.00
2	Self3	SelfTask	7	female	18	LASelfGain	1	239	List6	lost	$0.00	$26.00	$0.00	$10.00	Mean Response.RT	239.00
2	Self3	SelfTask	8	female	18	LASelfMixed	2	285	List6	won	$8.00	$8.00	-$3.00	$0.00	Mean Response.RT	285.00
2	Self3	SelfTask	9	female	18	LASelfGain	1	283	List6	won	$19.00	$19.00	$0.00	$8.00	Mean Response.RT	283.00
2	Self3	SelfTask	10	female	18	LASelfGain	1	609	List6	lost	$0.00	$25.00	$0.00	$10.00	Mean Response.RT	609.00
2	Self3	SelfTask	11	female	18	LASelfMixed	2	366	List6	lost	-$1.88	$5.00	-$1.88	$0.00	Mean Response.RT	366.00
2	Self3	SelfTask	12	female	18	LASelfMixed	2	458	List6	lost	-$2.75	$2.00	-$2.75	$0.00	Mean Response.RT	458.00
2	Self3	SelfTask	13	female	18	LASelfMixed	2	288	List6	won	$2.00	$2.00	-$1.75	$0.00	Mean Response.RT	288.00
2	Self3	SelfTask	14	female	18	LASelfMixed	2	310	List6	lost	-$11.25	$10.00	-$11.25	$0.00	Mean Response.RT	310.00
2	Self3	SelfTask	15	female	18	LASelfGain	1	508	List6	lost	$0.00	$5.00	$0.00	$3.00	Mean Response.RT	508.00
2	Self3	SelfTask	16	female	18	LASelfMixed	2	514	List6	won	$9.00	$9.00	-$2.25	$0.00	Mean Response.RT	514.00
2	Self3	SelfTask	17	female	18	LASelfMixed	2	480	List6	lost	-$11.00	$8.00	-$11.00	$0.00	Mean Response.RT	480.00
2	Self3	SelfTask	18	female	18	LASelfMixed	2	581	List6	won	$4.00	$4.00	-$3.00	$0.00	Mean Response.RT	581.00
2	Self3	SelfTask	19	female	18	LASelfMixed	2	355	List6	won	$6.00	$6.00	-$1.50	$0.00	Mean Response.RT	355.00
2	Self3	SelfTask	20	female	18	LASelfMixed	2	512	List6	lost	-$13.50	$9.00	-$13.50	$0.00	Mean Response.RT	512.00
2	Self3	SelfTask	21	female	18	LASelfMixed	2	341	List6	lost	-$5.63	$5.00	-$5.63	$0.00	Mean Response.RT	341.00
2	Self3	SelfTask	22	female	18	LASelfMixed	2	347	List6	lost	-$3.00	$6.00	-$3.00	$0.00	Mean Response.RT	347.00
2	Self3	SelfTask	23	female	18	LASelfMixed	2	441	List6	won	$10.00	$10.00	-$16.25	$0.00	Mean Response.RT	441.00
2	Self3	SelfTask	24	female	18	LASelfMixed	2	655	List6	won	$5.00	$5.00	-$2.50	$0.00	Mean Response.RT	655.00
2	Self3	SelfTask	25	female	18	LASelfGain	1	437	List6	lost	$0.00	$28.00	$0.00	$13.00	Mean Response.RT	437.00
2	Self3	SelfTask	26	female	18	LASelfMixed	2	787	List6	won	$10.00	$10.00	-$6.25	$0.00	Mean Response.RT	787.00
2	Self3	SelfTask	27	female	18	LASelfGain	1	664	List6	lost	$0.00	$12.00	$0.00	$5.00	Mean Response.RT	664.00
2	Self3	SelfTask	28	female	18	LASelfMixed	2	829	List6	lost	-$12.00	$12.00	-$12.00	$0.00	Mean Response.RT	829.00
