Analysis name: SLA_Madison																
Column conditions: None																
"Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain"																
Statistics: BFBlockInstructions.RT:Mean																
Filters: None																
Data file: SLA_Empathy_v1-155-1																
File does not have data alterations.																
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	18	PracticeMixed	NULL	NULL	List14	won	$5.00 	$5.00 	($3.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
1	PracticeTrials	Instructions	2	female	18	PracticeMixed	NULL	NULL	List14	lost	($2.00)	$4.00 	($2.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
1	PracticeTrials	Instructions	3	female	18	PracticeGain	NULL	NULL	List14	won	$7.00 	$7.00 	$0.00 	$2.00 	Mean BFBlockInstructions.RT	N/A
1	PracticeTrials	Instructions	4	female	18	PracticeGain	NULL	NULL	List14	lost	$0.00 	$8.00 	$0.00 	$4.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	1	female	18	LASelfGain	1	325	List4	won	$10.00 	$10.00 	$0.00 	$6.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	2	female	18	LASelfMixed	2	266	List4	lost	($15.75)	$9.00 	($15.75)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	3	female	18	LASelfMixed	1	263	List4	lost	($8.75)	$10.00 	($8.75)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	4	female	18	LASelfMixed	2	333	List4	won	$8.00 	$8.00 	($2.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	5	female	18	LASelfMixed	1	1211	List4	lost	($12.00)	$6.00 	($12.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	6	female	18	LASelfMixed	2	409	List4	lost	($18.75)	$10.00 	($18.75)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	7	female	18	LASelfMixed	2	605	List4	won	$5.00 	$5.00 	($8.13)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	8	female	18	LASelfGain	2	363	List4	lost	$0.00 	$12.00 	$0.00 	$4.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	9	female	18	LASelfMixed	1	440	List4	won	$9.00 	$9.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	10	female	18	LASelfGain	2	814	List4	lost	$0.00 	$22.00 	$0.00 	$13.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	11	female	18	LASelfMixed	1	1731	List4	lost	($7.00)	$8.00 	($7.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	12	female	18	LASelfMixed	2	665	List4	won	$4.00 	$4.00 	($8.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	13	female	18	LASelfGain	1	951	List4	won	$25.00 	$25.00 	$0.00 	$9.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	14	female	18	LASelfMixed	2	1589	List4	lost	($3.75)	$2.00 	($3.75)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	15	female	18	LASelfMixed	2	347	List4	won	$2.00 	$2.00 	($1.25)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	16	female	18	LASelfMixed	2	344	List4	won	$6.00 	$6.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	17	female	18	LASelfGain	1	390	List4	won	$13.00 	$13.00 	$0.00 	$6.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	18	female	18	LASelfMixed		0	List4	lost	($4.00)	$4.00 	($4.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	19	female	18	LASelfGain	1	241	List4	won	$7.00 	$7.00 	$0.00 	$3.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	20	female	18	LASelfGain	1	320	List4	won	$3.25 	$3.25 	$0.00 	$1.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	21	female	18	LASelfMixed	1	364	List4	won	$4.00 	$4.00 	($1.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	22	female	18	LASelfGain	1	362	List4	lost	$0.00 	$8.00 	$0.00 	$4.25 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	23	female	18	LASelfGain	1	416	List4	lost	$0.00 	$17.00 	$0.00 	$9.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	24	female	18	LASelfMixed	2	358	List4	won	$12.00 	$12.00 	($18.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	25	female	18	LASelfMixed	1	292	List4	lost	($5.00)	$5.00 	($5.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	26	female	18	LASelfGain	1	824	List4	won	$4.00 	$4.00 	$0.00 	$2.25 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	27	female	18	LASelfMixed	1	1238	List4	lost	($9.00)	$12.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	28	female	18	LASelfMixed	2	316	List4	won	$8.00 	$8.00 	($9.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	29	female	18	LASelfMixed	1	1913	List4	lost	($4.38)	$5.00 	($4.38)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self1	SelfTask	30	female	18	LASelfMixed	2	583	List4	lost	($13.00)	$8.00 	($13.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	1	female	18	LASelfMixed	2	190	List5	lost	($2.25)	$2.00 	($2.25)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	2	female	18	LASelfMixed	2	260	List5	won	$6.00 	$6.00 	($4.50)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	3	female	18	LASelfMixed	2	234	List5	won	$2.00 	$2.00 	($3.25)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	4	female	18	LASelfGain	1	271	List5	lost	$0.00 	$22.00 	$0.00 	$10.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	5	female	18	LASelfMixed	2	1077	List5	won	$9.00 	$9.00 	($4.50)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	6	female	18	LASelfGain	1	347	List5	won	$17.00 	$17.00 	$0.00 	$10.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	7	female	18	LASelfGain	1	384	List5	won	$4.00 	$4.00 	$0.00 	$2.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	8	female	18	LASelfMixed	1	1822	List5	lost	($2.00)	$4.00 	($2.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	9	female	18	LASelfGain	1	298	List5	won	$11.00 	$11.00 	$0.00 	$6.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	10	female	18	LASelfGain	1	392	List5	lost	$0.00 	$7.00 	$0.00 	$4.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	11	female	18	LASelfMixed	2	790	List5	lost	($3.75)	$10.00 	($3.75)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	12	female	18	LASelfMixed	2	572	List5	won	$12.00 	$12.00 	($24.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	13	female	18	LASelfMixed	2	578	List5	lost	($10.50)	$6.00 	($10.50)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	14	female	18	LASelfMixed	2	447	List5	lost	($9.38)	$5.00 	($9.38)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	15	female	18	LASelfMixed	1	197	List5	won	$8.00 	$8.00 	($5.00)	$0.00 	Mean BFBlockInstructions.RT	N/A
2	Self2	SelfTask	16	female	18	LASelfMixed	2	362	List5	won	$5.00 	$5.00 	($3.13)	$0.00 	Mean BFBlockInstructions.RT	N/A
