Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-180-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	18	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	18	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	18	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	18	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	18	LASelfGain	2	135	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	135.00
2	Self1	SelfTask	2	female	18	LASelfMixed	2	1333	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	1333.00
2	Self1	SelfTask	3	female	18	LASelfMixed	2	1411	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	1411.00
2	Self1	SelfTask	4	female	18	LASelfMixed	1	865	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	865.00
2	Self1	SelfTask	5	female	18	LASelfMixed	2	101	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	101.00
2	Self1	SelfTask	6	female	18	LASelfMixed	2	1843	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	1843.00
2	Self1	SelfTask	7	female	18	LASelfMixed	1	616	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	616.00
2	Self1	SelfTask	8	female	18	LASelfGain	2	1686	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	1686.00
2	Self1	SelfTask	9	female	18	LASelfMixed	2	1396	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	1396.00
2	Self1	SelfTask	10	female	18	LASelfGain	2	586	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	586.00
2	Self1	SelfTask	11	female	18	LASelfMixed	1	1950	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	1950.00
2	Self1	SelfTask	12	female	18	LASelfMixed	1	84	List4	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	84.00
2	Self1	SelfTask	13	female	18	LASelfGain	2	1329	List4	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	1329.00
2	Self1	SelfTask	14	female	18	LASelfMixed	1	967	List4	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	967.00
2	Self1	SelfTask	15	female	18	LASelfMixed	1	605	List4	won	$2.00	$2.00	-$1.25	$0.00	Mean Response.RT	605.00
2	Self1	SelfTask	16	female	18	LASelfMixed		0	List4	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	17	female	18	LASelfGain	2	432	List4	won	$13.00	$13.00	$0.00	$6.00	Mean Response.RT	432.00
2	Self1	SelfTask	18	female	18	LASelfMixed	2	22	List4	lost	-$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	22.00
2	Self1	SelfTask	19	female	18	LASelfGain	2	44	List4	won	$7.00	$7.00	$0.00	$3.00	Mean Response.RT	44.00
2	Self1	SelfTask	20	female	18	LASelfGain	1	609	List4	won	$3.25	$3.25	$0.00	$1.00	Mean Response.RT	609.00
2	Self1	SelfTask	21	female	18	LASelfMixed	1	15	List4	won	$4.00	$4.00	-$1.00	$0.00	Mean Response.RT	15.00
2	Self1	SelfTask	22	female	18	LASelfGain	1	219	List4	lost	$0.00	$8.00	$0.00	$4.25	Mean Response.RT	219.00
2	Self1	SelfTask	23	female	18	LASelfGain	1	1249	List4	lost	$0.00	$17.00	$0.00	$9.00	Mean Response.RT	1249.00
2	Self1	SelfTask	24	female	18	LASelfMixed	2	703	List4	won	$12.00	$12.00	-$18.00	$0.00	Mean Response.RT	703.00
2	Self1	SelfTask	25	female	18	LASelfMixed	2	213	List4	lost	-$5.00	$5.00	-$5.00	$0.00	Mean Response.RT	213.00
2	Self1	SelfTask	26	female	18	LASelfGain	2	427	List4	won	$4.00	$4.00	$0.00	$2.25	Mean Response.RT	427.00
2	Self1	SelfTask	27	female	18	LASelfMixed	1	409	List4	lost	-$9.00	$12.00	-$9.00	$0.00	Mean Response.RT	409.00
2	Self1	SelfTask	28	female	18	LASelfMixed	2	765	List4	won	$8.00	$8.00	-$9.00	$0.00	Mean Response.RT	765.00
2	Self1	SelfTask	29	female	18	LASelfMixed	1	451	List4	lost	-$4.38	$5.00	-$4.38	$0.00	Mean Response.RT	451.00
2	Self1	SelfTask	30	female	18	LASelfMixed	2	769	List4	lost	-$13.00	$8.00	-$13.00	$0.00	Mean Response.RT	769.00
2	Self2	SelfTask	1	female	18	LASelfMixed	1	95	List5	lost	-$2.25	$2.00	-$2.25	$0.00	Mean Response.RT	95.00
2	Self2	SelfTask	2	female	18	LASelfMixed	2	956	List5	won	$6.00	$6.00	-$4.50	$0.00	Mean Response.RT	956.00
2	Self2	SelfTask	3	female	18	LASelfMixed	2	874	List5	won	$2.00	$2.00	-$3.25	$0.00	Mean Response.RT	874.00
2	Self2	SelfTask	4	female	18	LASelfGain	1	951	List5	lost	$0.00	$22.00	$0.00	$10.00	Mean Response.RT	951.00
2	Self2	SelfTask	5	female	18	LASelfMixed	2	84	List5	won	$9.00	$9.00	-$4.50	$0.00	Mean Response.RT	84.00
2	Self2	SelfTask	6	female	18	LASelfGain	2	715	List5	won	$17.00	$17.00	$0.00	$10.00	Mean Response.RT	715.00
2	Self2	SelfTask	7	female	18	LASelfGain	1	57	List5	won	$4.00	$4.00	$0.00	$2.00	Mean Response.RT	57.00
2	Self2	SelfTask	8	female	18	LASelfMixed	2	1070	List5	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	1070.00
2	Self2	SelfTask	9	female	18	LASelfGain	2	604	List5	won	$11.00	$11.00	$0.00	$6.00	Mean Response.RT	604.00
2	Self2	SelfTask	10	female	18	LASelfGain	2	385	List5	lost	$0.00	$7.00	$0.00	$4.00	Mean Response.RT	385.00
2	Self2	SelfTask	11	female	18	LASelfMixed	1	711	List5	lost	-$3.75	$10.00	-$3.75	$0.00	Mean Response.RT	711.00
2	Self2	SelfTask	12	female	18	LASelfMixed	2	228	List5	won	$12.00	$12.00	-$24.00	$0.00	Mean Response.RT	228.00
2	Self2	SelfTask	13	female	18	LASelfMixed	2	1170	List5	lost	-$10.50	$6.00	-$10.50	$0.00	Mean Response.RT	1170.00
2	Self2	SelfTask	14	female	18	LASelfMixed	2	8	List5	lost	-$9.38	$5.00	-$9.38	$0.00	Mean Response.RT	8.00
2	Self2	SelfTask	15	female	18	LASelfMixed	1	1596	List5	won	$8.00	$8.00	-$5.00	$0.00	Mean Response.RT	1596.00
2	Self2	SelfTask	16	female	18	LASelfMixed		0	List5	won	$5.00	$5.00	-$3.13	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	17	female	18	LASelfGain	1	1503	List5	lost	$0.00	$30.00	$0.00	$12.00	Mean Response.RT	1503.00
2	Self2	SelfTask	18	female	18	LASelfMixed	2	1077	List5	won	$4.00	$4.00	-$7.00	$0.00	Mean Response.RT	1077.00
2	Self2	SelfTask	19	female	18	LASelfMixed	2	75	List5	won	$10.00	$10.00	-$13.75	$0.00	Mean Response.RT	75.00
2	Self2	SelfTask	20	female	18	LASelfMixed		0	List5	lost	-$15.00	$8.00	-$15.00	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	21	female	18	LASelfGain	2	342	List5	won	$24.00	$24.00	$0.00	$12.00	Mean Response.RT	342.00
2	Self2	SelfTask	22	female	18	LASelfMixed		0	List5	lost	-$15.00	$12.00	-$15.00	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	23	female	18	LASelfMixed		0	List5	lost	-$18.00	$9.00	-$18.00	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	24	female	18	LASelfGain	2	1056	List5	won	$13.00	$13.00	$0.00	$5.00	Mean Response.RT	1056.00
2	Self2	SelfTask	25	female	18	LASelfMixed	2	1661	List5	won	$2.00	$2.00	-$0.75	$0.00	Mean Response.RT	1661.00
2	Self2	SelfTask	26	female	18	LASelfMixed		0	List5	lost	-$6.00	$12.00	-$6.00	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	27	female	18	LASelfGain	1	688	List5	lost	$0.00	$8.00	$0.00	$3.00	Mean Response.RT	688.00
2	Self2	SelfTask	28	female	18	LASelfMixed	1	1790	List5	won	$8.00	$8.00	-$6.00	$0.00	Mean Response.RT	1790.00
2	Self2	SelfTask	29	female	18	LASelfMixed	2	251	List5	lost	-$5.00	$4.00	-$5.00	$0.00	Mean Response.RT	251.00
2	Self2	SelfTask	30	female	18	LASelfMixed	2	113	List5	lost	-$6.00	$6.00	-$6.00	$0.00	Mean Response.RT	113.00
2	Self3	SelfTask	1	female	18	LASelfMixed	2	929	List6	won	$9.00	$9.00	-$11.25	$0.00	Mean Response.RT	929.00
2	Self3	SelfTask	2	female	18	LASelfMixed	2	1031	List6	won	$12.00	$12.00	-$21.00	$0.00	Mean Response.RT	1031.00
2	Self3	SelfTask	3	female	18	LASelfMixed	2	1068	List6	won	$5.00	$5.00	-$6.88	$0.00	Mean Response.RT	1068.00
2	Self3	SelfTask	4	female	18	LASelfMixed	1	1122	List6	lost	-$3.00	$12.00	-$3.00	$0.00	Mean Response.RT	1122.00
2	Self3	SelfTask	5	female	18	LASelfGain	2	1224	List6	won	$5.00	$5.00	$0.00	$2.00	Mean Response.RT	1224.00
2	Self3	SelfTask	6	female	18	LASelfMixed	1	950	List6	lost	-$6.75	$9.00	-$6.75	$0.00	Mean Response.RT	950.00
2	Self3	SelfTask	7	female	18	LASelfGain	2	899	List6	lost	$0.00	$26.00	$0.00	$10.00	Mean Response.RT	899.00
2	Self3	SelfTask	8	female	18	LASelfMixed	1	913	List6	won	$8.00	$8.00	-$3.00	$0.00	Mean Response.RT	913.00
2	Self3	SelfTask	9	female	18	LASelfGain	2	342	List6	won	$19.00	$19.00	$0.00	$8.00	Mean Response.RT	342.00
2	Self3	SelfTask	10	female	18	LASelfGain	2	20	List6	lost	$0.00	$25.00	$0.00	$10.00	Mean Response.RT	20.00
2	Self3	SelfTask	11	female	18	LASelfMixed	1	506	List6	lost	-$1.88	$5.00	-$1.88	$0.00	Mean Response.RT	506.00
2	Self3	SelfTask	12	female	18	LASelfMixed	2	1999	List6	lost	-$2.75	$2.00	-$2.75	$0.00	Mean Response.RT	1999.00
2	Self3	SelfTask	13	female	18	LASelfMixed	1	245	List6	won	$2.00	$2.00	-$1.75	$0.00	Mean Response.RT	245.00
2	Self3	SelfTask	14	female	18	LASelfMixed	2	1817	List6	lost	-$11.25	$10.00	-$11.25	$0.00	Mean Response.RT	1817.00
2	Self3	SelfTask	15	female	18	LASelfGain	2	1110	List6	lost	$0.00	$5.00	$0.00	$3.00	Mean Response.RT	1110.00
2	Self3	SelfTask	16	female	18	LASelfMixed	1	852	List6	won	$9.00	$9.00	-$2.25	$0.00	Mean Response.RT	852.00
2	Self3	SelfTask	17	female	18	LASelfMixed		0	List6	lost	-$11.00	$8.00	-$11.00	$0.00	Mean Response.RT	0.00
2	Self3	SelfTask	18	female	18	LASelfMixed	2	679	List6	won	$4.00	$4.00	-$3.00	$0.00	Mean Response.RT	679.00
2	Self3	SelfTask	19	female	18	LASelfMixed	1	221	List6	won	$6.00	$6.00	-$1.50	$0.00	Mean Response.RT	221.00
2	Self3	SelfTask	20	female	18	LASelfMixed	2	1082	List6	lost	-$13.50	$9.00	-$13.50	$0.00	Mean Response.RT	1082.00
2	Self3	SelfTask	21	female	18	LASelfMixed	2	640	List6	lost	-$5.63	$5.00	-$5.63	$0.00	Mean Response.RT	640.00
2	Self3	SelfTask	22	female	18	LASelfMixed	1	333	List6	lost	-$3.00	$6.00	-$3.00	$0.00	Mean Response.RT	333.00
2	Self3	SelfTask	23	female	18	LASelfMixed	2	3	List6	won	$10.00	$10.00	-$16.25	$0.00	Mean Response.RT	3.00
2	Self3	SelfTask	24	female	18	LASelfMixed	1	953	List6	won	$5.00	$5.00	-$2.50	$0.00	Mean Response.RT	953.00
2	Self3	SelfTask	25	female	18	LASelfGain	2	1215	List6	lost	$0.00	$28.00	$0.00	$13.00	Mean Response.RT	1215.00
2	Self3	SelfTask	26	female	18	LASelfMixed	1	1972	List6	won	$10.00	$10.00	-$6.25	$0.00	Mean Response.RT	1972.00
2	Self3	SelfTask	27	female	18	LASelfGain	1	818	List6	lost	$0.00	$12.00	$0.00	$5.00	Mean Response.RT	818.00
