Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-160-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	male	19	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	male	19	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	male	19	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	male	19	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	male	19	LASelfGain	1	884	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	884.00
2	Self1	SelfTask	2	male	19	LASelfMixed		0	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	3	male	19	LASelfMixed	2	1423	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	1423.00
2	Self1	SelfTask	4	male	19	LASelfMixed	1	453	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	453.00
2	Self1	SelfTask	5	male	19	LASelfMixed	2	1018	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	1018.00
2	Self1	SelfTask	6	male	19	LASelfMixed	1	1351	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	1351.00
2	Self1	SelfTask	7	male	19	LASelfMixed		0	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	8	male	19	LASelfGain	1	371	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	371.00
2	Self1	SelfTask	9	male	19	LASelfMixed	2	777	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	777.00
2	Self1	SelfTask	10	male	19	LASelfGain	1	638	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	638.00
2	Self1	SelfTask	11	male	19	LASelfMixed	2	1260	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	1260.00
2	Self1	SelfTask	12	male	19	LASelfMixed	2	338	List4	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	338.00
2	Self1	SelfTask	13	male	19	LASelfGain	1	582	List4	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	582.00
2	Self1	SelfTask	14	male	19	LASelfMixed	2	763	List4	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	763.00
2	Self1	SelfTask	15	male	19	LASelfMixed	2	298	List4	won	$2.00	$2.00	-$1.25	$0.00	Mean Response.RT	298.00
2	Self1	SelfTask	16	male	19	LASelfMixed	2	1143	List4	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	1143.00
2	Self1	SelfTask	17	male	19	LASelfGain	1	653	List4	won	$13.00	$13.00	$0.00	$6.00	Mean Response.RT	653.00
2	Self1	SelfTask	18	male	19	LASelfMixed	2	914	List4	lost	-$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	914.00
2	Self1	SelfTask	19	male	19	LASelfGain	1	288	List4	won	$7.00	$7.00	$0.00	$3.00	Mean Response.RT	288.00
2	Self1	SelfTask	20	male	19	LASelfGain	1	1230	List4	won	$3.25	$3.25	$0.00	$1.00	Mean Response.RT	1230.00
2	Self1	SelfTask	21	male	19	LASelfMixed	1	363	List4	won	$4.00	$4.00	-$1.00	$0.00	Mean Response.RT	363.00
2	Self1	SelfTask	22	male	19	LASelfGain	1	896	List4	lost	$0.00	$8.00	$0.00	$4.25	Mean Response.RT	896.00
2	Self1	SelfTask	23	male	19	LASelfGain	1	1054	List4	lost	$0.00	$17.00	$0.00	$9.00	Mean Response.RT	1054.00
2	Self1	SelfTask	24	male	19	LASelfMixed	2	1307	List4	won	$12.00	$12.00	-$18.00	$0.00	Mean Response.RT	1307.00
2	Self1	SelfTask	25	male	19	LASelfMixed	2	825	List4	lost	-$5.00	$5.00	-$5.00	$0.00	Mean Response.RT	825.00
2	Self1	SelfTask	26	male	19	LASelfGain	1	1039	List4	won	$4.00	$4.00	$0.00	$2.25	Mean Response.RT	1039.00
2	Self1	SelfTask	27	male	19	LASelfMixed	2	1389	List4	lost	-$9.00	$12.00	-$9.00	$0.00	Mean Response.RT	1389.00
2	Self1	SelfTask	28	male	19	LASelfMixed	2	859	List4	won	$8.00	$8.00	-$9.00	$0.00	Mean Response.RT	859.00
2	Self1	SelfTask	29	male	19	LASelfMixed	2	465	List4	lost	-$4.38	$5.00	-$4.38	$0.00	Mean Response.RT	465.00
2	Self1	SelfTask	30	male	19	LASelfMixed	2	1093	List4	lost	-$13.00	$8.00	-$13.00	$0.00	Mean Response.RT	1093.00
2	Self2	SelfTask	1	male	19	LASelfMixed	2	948	List5	lost	-$2.25	$2.00	-$2.25	$0.00	Mean Response.RT	948.00
2	Self2	SelfTask	2	male	19	LASelfMixed		0	List5	won	$6.00	$6.00	-$4.50	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	3	male	19	LASelfMixed	2	447	List5	won	$2.00	$2.00	-$3.25	$0.00	Mean Response.RT	447.00
2	Self2	SelfTask	4	male	19	LASelfGain	1	684	List5	lost	$0.00	$22.00	$0.00	$10.00	Mean Response.RT	684.00
2	Self2	SelfTask	5	male	19	LASelfMixed	1	873	List5	won	$9.00	$9.00	-$4.50	$0.00	Mean Response.RT	873.00
2	Self2	SelfTask	6	male	19	LASelfGain	1	1191	List5	won	$17.00	$17.00	$0.00	$10.00	Mean Response.RT	1191.00
2	Self2	SelfTask	7	male	19	LASelfGain	1	1332	List5	won	$4.00	$4.00	$0.00	$2.00	Mean Response.RT	1332.00
2	Self2	SelfTask	8	male	19	LASelfMixed	2	1562	List5	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	1562.00
2	Self2	SelfTask	9	male	19	LASelfGain	1	824	List5	won	$11.00	$11.00	$0.00	$6.00	Mean Response.RT	824.00
2	Self2	SelfTask	10	male	19	LASelfGain	1	1286	List5	lost	$0.00	$7.00	$0.00	$4.00	Mean Response.RT	1286.00
2	Self2	SelfTask	11	male	19	LASelfMixed	1	1147	List5	lost	-$3.75	$10.00	-$3.75	$0.00	Mean Response.RT	1147.00
2	Self2	SelfTask	12	male	19	LASelfMixed	2	1225	List5	won	$12.00	$12.00	-$24.00	$0.00	Mean Response.RT	1225.00
2	Self2	SelfTask	13	male	19	LASelfMixed	2	1679	List5	lost	-$10.50	$6.00	-$10.50	$0.00	Mean Response.RT	1679.00
2	Self2	SelfTask	14	male	19	LASelfMixed	2	893	List5	lost	-$9.38	$5.00	-$9.38	$0.00	Mean Response.RT	893.00
2	Self2	SelfTask	15	male	19	LASelfMixed	2	443	List5	won	$8.00	$8.00	-$5.00	$0.00	Mean Response.RT	443.00
2	Self2	SelfTask	16	male	19	LASelfMixed	1	1207	List5	won	$5.00	$5.00	-$3.13	$0.00	Mean Response.RT	1207.00
2	Self2	SelfTask	17	male	19	LASelfGain	1	733	List5	lost	$0.00	$30.00	$0.00	$12.00	Mean Response.RT	733.00
2	Self2	SelfTask	18	male	19	LASelfMixed	2	643	List5	won	$4.00	$4.00	-$7.00	$0.00	Mean Response.RT	643.00
2	Self2	SelfTask	19	male	19	LASelfMixed	2	1073	List5	won	$10.00	$10.00	-$13.75	$0.00	Mean Response.RT	1073.00
2	Self2	SelfTask	20	male	19	LASelfMixed	2	1654	List5	lost	-$15.00	$8.00	-$15.00	$0.00	Mean Response.RT	1654.00
2	Self2	SelfTask	21	male	19	LASelfGain		0	List5	won	$24.00	$24.00	$0.00	$12.00	Mean Response.RT	0.00
2	Self2	SelfTask	22	male	19	LASelfMixed	2	907	List5	lost	-$15.00	$12.00	-$15.00	$0.00	Mean Response.RT	907.00
2	Self2	SelfTask	23	male	19	LASelfMixed	2	504	List5	lost	-$18.00	$9.00	-$18.00	$0.00	Mean Response.RT	504.00
2	Self2	SelfTask	24	male	19	LASelfGain	1	989	List5	won	$13.00	$13.00	$0.00	$5.00	Mean Response.RT	989.00
2	Self2	SelfTask	25	male	19	LASelfMixed	2	834	List5	won	$2.00	$2.00	-$0.75	$0.00	Mean Response.RT	834.00
2	Self2	SelfTask	26	male	19	LASelfMixed	2	472	List5	lost	-$6.00	$12.00	-$6.00	$0.00	Mean Response.RT	472.00
2	Self2	SelfTask	27	male	19	LASelfGain	1	230	List5	lost	$0.00	$8.00	$0.00	$3.00	Mean Response.RT	230.00
2	Self2	SelfTask	28	male	19	LASelfMixed	2	163	List5	won	$8.00	$8.00	-$6.00	$0.00	Mean Response.RT	163.00
2	Self2	SelfTask	29	male	19	LASelfMixed	2	1353	List5	lost	-$5.00	$4.00	-$5.00	$0.00	Mean Response.RT	1353.00
2	Self2	SelfTask	30	male	19	LASelfMixed	2	1527	List5	lost	-$6.00	$6.00	-$6.00	$0.00	Mean Response.RT	1527.00
2	Self3	SelfTask	1	male	19	LASelfMixed		0	List6	won	$9.00	$9.00	-$11.25	$0.00	Mean Response.RT	0.00
2	Self3	SelfTask	2	male	19	LASelfMixed	2	164	List6	won	$12.00	$12.00	-$21.00	$0.00	Mean Response.RT	164.00
2	Self3	SelfTask	3	male	19	LASelfMixed	2	553	List6	won	$5.00	$5.00	-$6.88	$0.00	Mean Response.RT	553.00
2	Self3	SelfTask	4	male	19	LASelfMixed	1	815	List6	lost	-$3.00	$12.00	-$3.00	$0.00	Mean Response.RT	815.00
2	Self3	SelfTask	5	male	19	LASelfGain	1	852	List6	won	$5.00	$5.00	$0.00	$2.00	Mean Response.RT	852.00
2	Self3	SelfTask	6	male	19	LASelfMixed		0	List6	lost	-$6.75	$9.00	-$6.75	$0.00	Mean Response.RT	0.00
2	Self3	SelfTask	7	male	19	LASelfGain	1	472	List6	lost	$0.00	$26.00	$0.00	$10.00	Mean Response.RT	472.00
2	Self3	SelfTask	8	male	19	LASelfMixed	1	781	List6	won	$8.00	$8.00	-$3.00	$0.00	Mean Response.RT	781.00
2	Self3	SelfTask	9	male	19	LASelfGain	1	1018	List6	won	$19.00	$19.00	$0.00	$8.00	Mean Response.RT	1018.00
2	Self3	SelfTask	10	male	19	LASelfGain	1	912	List6	lost	$0.00	$25.00	$0.00	$10.00	Mean Response.RT	912.00
2	Self3	SelfTask	11	male	19	LASelfMixed	1	1253	List6	lost	-$1.88	$5.00	-$1.88	$0.00	Mean Response.RT	1253.00
2	Self3	SelfTask	12	male	19	LASelfMixed	2	1043	List6	lost	-$2.75	$2.00	-$2.75	$0.00	Mean Response.RT	1043.00
2	Self3	SelfTask	13	male	19	LASelfMixed	2	601	List6	won	$2.00	$2.00	-$1.75	$0.00	Mean Response.RT	601.00
2	Self3	SelfTask	14	male	19	LASelfMixed	2	887	List6	lost	-$11.25	$10.00	-$11.25	$0.00	Mean Response.RT	887.00
2	Self3	SelfTask	15	male	19	LASelfGain	2	1933	List6	lost	$0.00	$5.00	$0.00	$3.00	Mean Response.RT	1933.00
2	Self3	SelfTask	16	male	19	LASelfMixed	1	603	List6	won	$9.00	$9.00	-$2.25	$0.00	Mean Response.RT	603.00
2	Self3	SelfTask	17	male	19	LASelfMixed	2	713	List6	lost	-$11.00	$8.00	-$11.00	$0.00	Mean Response.RT	713.00
2	Self3	SelfTask	18	male	19	LASelfMixed	2	477	List6	won	$4.00	$4.00	-$3.00	$0.00	Mean Response.RT	477.00
2	Self3	SelfTask	19	male	19	LASelfMixed	1	555	List6	won	$6.00	$6.00	-$1.50	$0.00	Mean Response.RT	555.00
2	Self3	SelfTask	20	male	19	LASelfMixed	2	1217	List6	lost	-$13.50	$9.00	-$13.50	$0.00	Mean Response.RT	1217.00
2	Self3	SelfTask	21	male	19	LASelfMixed	2	631	List6	lost	-$5.63	$5.00	-$5.63	$0.00	Mean Response.RT	631.00
2	Self3	SelfTask	22	male	19	LASelfMixed	1	396	List6	lost	-$3.00	$6.00	-$3.00	$0.00	Mean Response.RT	396.00
2	Self3	SelfTask	23	male	19	LASelfMixed	2	466	List6	won	$10.00	$10.00	-$16.25	$0.00	Mean Response.RT	466.00
2	Self3	SelfTask	24	male	19	LASelfMixed	1	503	List6	won	$5.00	$5.00	-$2.50	$0.00	Mean Response.RT	503.00
2	Self3	SelfTask	25	male	19	LASelfGain	1	501	List6	lost	$0.00	$28.00	$0.00	$13.00	Mean Response.RT	501.00
2	Self3	SelfTask	26	male	19	LASelfMixed	2	1898	List6	won	$10.00	$10.00	-$6.25	$0.00	Mean Response.RT	1898.00
2	Self3	SelfTask	27	male	19	LASelfGain	1	320	List6	lost	$0.00	$12.00	$0.00	$5.00	Mean Response.RT	320.00
2	Self3	SelfTask	28	male	19	LASelfMixed	2	1046	List6	lost	-$12.00	$12.00	-$12.00	$0.00	Mean Response.RT	1046.00
2	Self3	SelfTask	29	male	19	LASelfMixed	2	524	List6	won	$4.00	$4.00	-$6.00	$0.00	Mean Response.RT	524.00
2	Self3	SelfTask	30	male	19	LASelfMixed	2	1497	List6	won	$6.00	$6.00	-$7.50	$0.00	Mean Response.RT	1497.00
3	BF1	BFTask	1	male	19	LABFMixed	2	753	List11	won	$8.00	$8.00	-$9.00	$0.00	Mean Response.RT	753.00
3	BF1	BFTask	2	male	19	LABFMixed	2	422	List11	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	422.00
3	BF1	BFTask	3	male	19	LABFGain	1	724	List11	won	$12.00	$12.00	$0.00	$4.00	Mean Response.RT	724.00
3	BF1	BFTask	4	male	19	LABFGain	1	771	List11	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	771.00
3	BF1	BFTask	5	male	19	LABFMixed		0	List11	lost	-$4.38	$5.00	-$4.38	$0.00	Mean Response.RT	0.00
3	BF1	BFTask	6	male	19	LABFMixed	2	334	List11	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	334.00
3	BF1	BFTask	7	male	19	LABFMixed	2	1476	List11	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	1476.00
3	BF1	BFTask	8	male	19	LABFMixed	1	481	List11	lost	-$1.25	$2.00	-$1.25	$0.00	Mean Response.RT	481.00
3	BF1	BFTask	9	male	19	LABFMixed	1	366	List11	won	$4.00	$4.00	-$1.00	$0.00	Mean Response.RT	366.00
3	BF1	BFTask	10	male	19	LABFMixed	2	795	List11	lost	-$13.00	$8.00	-$13.00	$0.00	Mean Response.RT	795.00
3	BF1	BFTask	11	male	19	LABFMixed	1	674	List11	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	674.00
3	BF1	BFTask	12	male	19	LABFMixed	2	415	List11	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	415.00
3	BF1	BFTask	13	male	19	LABFMixed	1	932	List11	lost	-$9.00	$12.00	-$9.00	$0.00	Mean Response.RT	932.00
3	BF1	BFTask	14	male	19	LABFMixed	2	314	List11	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	314.00
3	BF1	BFTask	15	male	19	LABFGain	1	584	List11	won	$3.25	$3.25	$0.00	$1.00	Mean Response.RT	584.00
3	BF1	BFTask	16	male	19	LABFGain	1	597	List11	won	$7.00	$7.00	$0.00	$3.00	Mean Response.RT	597.00
3	BF1	BFTask	17	male	19	LABFMixed	2	779	List11	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	779.00
3	BF1	BFTask	18	male	19	LABFGain	1	961	List11	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	961.00
3	BF1	BFTask	19	male	19	LABFGain	1	1054	List11	lost	$0.00	$8.00	$0.00	$4.25	Mean Response.RT	1054.00
3	BF1	BFTask	20	male	19	LABFMixed	2	324	List11	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	324.00
3	BF1	BFTask	21	male	19	LABFMixed	2	890	List11	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	890.00
3	BF1	BFTask	22	male	19	LABFGain	1	1343	List11	lost	$0.00	$17.00	$0.00	$9.00	Mean Response.RT	1343.00
3	BF1	BFTask	23	male	19	LABFMixed	2	429	List11	won	$12.00	$12.00	-$18.00	$0.00	Mean Response.RT	429.00
3	BF1	BFTask	24	male	19	LABFGain	1	722	List11	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	722.00
3	BF1	BFTask	25	male	19	LABFGain	1	856	List11	lost	$0.00	$13.00	$0.00	$6.00	Mean Response.RT	856.00
3	BF1	BFTask	26	male	19	LABFMixed	2	661	List11	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	661.00
3	BF1	BFTask	27	male	19	LABFMixed	2	755	List11	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	755.00
3	BF1	BFTask	28	male	19	LABFMixed	2	616	List11	won	$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	616.00
3	BF1	BFTask	29	male	19	LABFGain	1	734	List11	won	$4.00	$4.00	$0.00	$2.25	Mean Response.RT	734.00
3	BF1	BFTask	30	male	19	LABFMixed	1	1467	List11	lost	-$5.00	$5.00	-$5.00	$0.00	Mean Response.RT	1467.00
3	BF2	BFTask	1	male	19	LABFGain	1	576	List12	lost	$0.00	$30.00	$0.00	$12.00	Mean Response.RT	576.00
3	BF2	BFTask	2	male	19	LABFMixed	1	749	List12	lost	-$6.00	$12.00	-$6.00	$0.00	Mean Response.RT	749.00
3	BF2	BFTask	3	male	19	LABFMixed	2	363	List12	won	$4.00	$4.00	-$5.00	$0.00	Mean Response.RT	363.00
3	BF2	BFTask	4	male	19	LABFGain	1	945	List12	lost	$0.00	$17.00	$0.00	$10.00	Mean Response.RT	945.00
3	BF2	BFTask	5	male	19	LABFMixed	2	966	List12	won	$2.00	$2.00	-$3.25	$0.00	Mean Response.RT	966.00
