Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-172-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	18	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	18	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	18	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	18	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	18	LASelfGain	2	275	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	275.00
2	Self1	SelfTask	2	female	18	LASelfMixed	2	103	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	103.00
2	Self1	SelfTask	3	female	18	LASelfMixed	1	45	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	45.00
2	Self1	SelfTask	4	female	18	LASelfMixed		0	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	0.00
2	Self1	SelfTask	5	female	18	LASelfMixed	2	960	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	960.00
2	Self1	SelfTask	6	female	18	LASelfMixed	1	982	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	982.00
2	Self1	SelfTask	7	female	18	LASelfMixed	1	700	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	700.00
2	Self1	SelfTask	8	female	18	LASelfGain	1	306	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	306.00
2	Self1	SelfTask	9	female	18	LASelfMixed	1	430	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	430.00
2	Self1	SelfTask	10	female	18	LASelfGain	1	924	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	924.00
2	Self1	SelfTask	11	female	18	LASelfMixed	1	762	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	762.00
2	Self1	SelfTask	12	female	18	LASelfMixed	2	687	List4	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	687.00
2	Self1	SelfTask	13	female	18	LASelfGain	1	645	List4	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	645.00
2	Self1	SelfTask	14	female	18	LASelfMixed	2	498	List4	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	498.00
2	Self1	SelfTask	15	female	18	LASelfMixed	1	785	List4	won	$2.00	$2.00	-$1.25	$0.00	Mean Response.RT	785.00
2	Self1	SelfTask	16	female	18	LASelfMixed	2	382	List4	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	382.00
2	Self1	SelfTask	17	female	18	LASelfGain	1	764	List4	won	$13.00	$13.00	$0.00	$6.00	Mean Response.RT	764.00
2	Self1	SelfTask	18	female	18	LASelfMixed	2	761	List4	lost	-$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	761.00
2	Self1	SelfTask	19	female	18	LASelfGain	2	991	List4	won	$7.00	$7.00	$0.00	$3.00	Mean Response.RT	991.00
2	Self1	SelfTask	20	female	18	LASelfGain	1	941	List4	won	$3.25	$3.25	$0.00	$1.00	Mean Response.RT	941.00
2	Self1	SelfTask	21	female	18	LASelfMixed	1	307	List4	won	$4.00	$4.00	-$1.00	$0.00	Mean Response.RT	307.00
2	Self1	SelfTask	22	female	18	LASelfGain	2	409	List4	lost	$0.00	$8.00	$0.00	$4.25	Mean Response.RT	409.00
2	Self1	SelfTask	23	female	18	LASelfGain	1	853	List4	lost	$0.00	$17.00	$0.00	$9.00	Mean Response.RT	853.00
2	Self1	SelfTask	24	female	18	LASelfMixed	1	643	List4	won	$12.00	$12.00	-$18.00	$0.00	Mean Response.RT	643.00
2	Self1	SelfTask	25	female	18	LASelfMixed	1	289	List4	lost	-$5.00	$5.00	-$5.00	$0.00	Mean Response.RT	289.00
2	Self1	SelfTask	26	female	18	LASelfGain	2	534	List4	won	$4.00	$4.00	$0.00	$2.25	Mean Response.RT	534.00
2	Self1	SelfTask	27	female	18	LASelfMixed	1	444	List4	lost	-$9.00	$12.00	-$9.00	$0.00	Mean Response.RT	444.00
2	Self1	SelfTask	28	female	18	LASelfMixed	1	561	List4	won	$8.00	$8.00	-$9.00	$0.00	Mean Response.RT	561.00
2	Self1	SelfTask	29	female	18	LASelfMixed	2	264	List4	lost	-$4.38	$5.00	-$4.38	$0.00	Mean Response.RT	264.00
2	Self1	SelfTask	30	female	18	LASelfMixed	2	644	List4	lost	-$13.00	$8.00	-$13.00	$0.00	Mean Response.RT	644.00
2	Self2	SelfTask	1	female	18	LASelfMixed	2	407	List5	lost	-$2.25	$2.00	-$2.25	$0.00	Mean Response.RT	407.00
2	Self2	SelfTask	2	female	18	LASelfMixed	1	349	List5	won	$6.00	$6.00	-$4.50	$0.00	Mean Response.RT	349.00
2	Self2	SelfTask	3	female	18	LASelfMixed	2	427	List5	won	$2.00	$2.00	-$3.25	$0.00	Mean Response.RT	427.00
2	Self2	SelfTask	4	female	18	LASelfGain	2	592	List5	lost	$0.00	$22.00	$0.00	$10.00	Mean Response.RT	592.00
2	Self2	SelfTask	5	female	18	LASelfMixed	1	294	List5	won	$9.00	$9.00	-$4.50	$0.00	Mean Response.RT	294.00
2	Self2	SelfTask	6	female	18	LASelfGain	1	387	List5	won	$17.00	$17.00	$0.00	$10.00	Mean Response.RT	387.00
2	Self2	SelfTask	7	female	18	LASelfGain	2	305	List5	won	$4.00	$4.00	$0.00	$2.00	Mean Response.RT	305.00
2	Self2	SelfTask	8	female	18	LASelfMixed	1	302	List5	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	302.00
2	Self2	SelfTask	9	female	18	LASelfGain	2	283	List5	won	$11.00	$11.00	$0.00	$6.00	Mean Response.RT	283.00
2	Self2	SelfTask	10	female	18	LASelfGain	1	290	List5	lost	$0.00	$7.00	$0.00	$4.00	Mean Response.RT	290.00
2	Self2	SelfTask	11	female	18	LASelfMixed	1	271	List5	lost	-$3.75	$10.00	-$3.75	$0.00	Mean Response.RT	271.00
2	Self2	SelfTask	12	female	18	LASelfMixed	1	301	List5	won	$12.00	$12.00	-$24.00	$0.00	Mean Response.RT	301.00
2	Self2	SelfTask	13	female	18	LASelfMixed	2	586	List5	lost	-$10.50	$6.00	-$10.50	$0.00	Mean Response.RT	586.00
2	Self2	SelfTask	14	female	18	LASelfMixed	1	424	List5	lost	-$9.38	$5.00	-$9.38	$0.00	Mean Response.RT	424.00
2	Self2	SelfTask	15	female	18	LASelfMixed	1	309	List5	won	$8.00	$8.00	-$5.00	$0.00	Mean Response.RT	309.00
2	Self2	SelfTask	16	female	18	LASelfMixed	2	507	List5	won	$5.00	$5.00	-$3.13	$0.00	Mean Response.RT	507.00
2	Self2	SelfTask	17	female	18	LASelfGain	2	642	List5	lost	$0.00	$30.00	$0.00	$12.00	Mean Response.RT	642.00
2	Self2	SelfTask	18	female	18	LASelfMixed	1	368	List5	won	$4.00	$4.00	-$7.00	$0.00	Mean Response.RT	368.00
2	Self2	SelfTask	19	female	18	LASelfMixed	2	710	List5	won	$10.00	$10.00	-$13.75	$0.00	Mean Response.RT	710.00
2	Self2	SelfTask	20	female	18	LASelfMixed	1	307	List5	lost	-$15.00	$8.00	-$15.00	$0.00	Mean Response.RT	307.00
2	Self2	SelfTask	21	female	18	LASelfGain	1	256	List5	won	$24.00	$24.00	$0.00	$12.00	Mean Response.RT	256.00
2	Self2	SelfTask	22	female	18	LASelfMixed	2	286	List5	lost	-$15.00	$12.00	-$15.00	$0.00	Mean Response.RT	286.00
2	Self2	SelfTask	23	female	18	LASelfMixed	1	347	List5	lost	-$18.00	$9.00	-$18.00	$0.00	Mean Response.RT	347.00
2	Self2	SelfTask	24	female	18	LASelfGain	1	377	List5	won	$13.00	$13.00	$0.00	$5.00	Mean Response.RT	377.00
2	Self2	SelfTask	25	female	18	LASelfMixed	2	255	List5	won	$2.00	$2.00	-$0.75	$0.00	Mean Response.RT	255.00
2	Self2	SelfTask	26	female	18	LASelfMixed	1	965	List5	lost	-$6.00	$12.00	-$6.00	$0.00	Mean Response.RT	965.00
2	Self2	SelfTask	27	female	18	LASelfGain	1	306	List5	lost	$0.00	$8.00	$0.00	$3.00	Mean Response.RT	306.00
2	Self2	SelfTask	28	female	18	LASelfMixed	1	319	List5	won	$8.00	$8.00	-$6.00	$0.00	Mean Response.RT	319.00
2	Self2	SelfTask	29	female	18	LASelfMixed	2	645	List5	lost	-$5.00	$4.00	-$5.00	$0.00	Mean Response.RT	645.00
2	Self2	SelfTask	30	female	18	LASelfMixed	1	402	List5	lost	-$6.00	$6.00	-$6.00	$0.00	Mean Response.RT	402.00
2	Self3	SelfTask	1	female	18	LASelfMixed	2	1555	List6	won	$9.00	$9.00	-$11.25	$0.00	Mean Response.RT	1555.00
2	Self3	SelfTask	2	female	18	LASelfMixed	1	289	List6	won	$12.00	$12.00	-$21.00	$0.00	Mean Response.RT	289.00
2	Self3	SelfTask	3	female	18	LASelfMixed	2	293	List6	won	$5.00	$5.00	-$6.88	$0.00	Mean Response.RT	293.00
2	Self3	SelfTask	4	female	18	LASelfMixed	1	275	List6	lost	-$3.00	$12.00	-$3.00	$0.00	Mean Response.RT	275.00
2	Self3	SelfTask	5	female	18	LASelfGain	2	273	List6	won	$5.00	$5.00	$0.00	$2.00	Mean Response.RT	273.00
2	Self3	SelfTask	6	female	18	LASelfMixed	1	335	List6	lost	-$6.75	$9.00	-$6.75	$0.00	Mean Response.RT	335.00
2	Self3	SelfTask	7	female	18	LASelfGain	1	588	List6	lost	$0.00	$26.00	$0.00	$10.00	Mean Response.RT	588.00
2	Self3	SelfTask	8	female	18	LASelfMixed	1	266	List6	won	$8.00	$8.00	-$3.00	$0.00	Mean Response.RT	266.00
2	Self3	SelfTask	9	female	18	LASelfGain	1	680	List6	won	$19.00	$19.00	$0.00	$8.00	Mean Response.RT	680.00
2	Self3	SelfTask	10	female	18	LASelfGain	2	1149	List6	lost	$0.00	$25.00	$0.00	$10.00	Mean Response.RT	1149.00
2	Self3	SelfTask	11	female	18	LASelfMixed	1	1451	List6	lost	-$1.88	$5.00	-$1.88	$0.00	Mean Response.RT	1451.00
2	Self3	SelfTask	12	female	18	LASelfMixed	2	393	List6	lost	-$2.75	$2.00	-$2.75	$0.00	Mean Response.RT	393.00
2	Self3	SelfTask	13	female	18	LASelfMixed		0	List6	won	$2.00	$2.00	-$1.75	$0.00	Mean Response.RT	0.00
2	Self3	SelfTask	14	female	18	LASelfMixed	1	428	List6	lost	-$11.25	$10.00	-$11.25	$0.00	Mean Response.RT	428.00
2	Self3	SelfTask	15	female	18	LASelfGain	1	250	List6	lost	$0.00	$5.00	$0.00	$3.00	Mean Response.RT	250.00
2	Self3	SelfTask	16	female	18	LASelfMixed	1	295	List6	won	$9.00	$9.00	-$2.25	$0.00	Mean Response.RT	295.00
2	Self3	SelfTask	17	female	18	LASelfMixed	2	260	List6	lost	-$11.00	$8.00	-$11.00	$0.00	Mean Response.RT	260.00
2	Self3	SelfTask	18	female	18	LASelfMixed	1	241	List6	won	$4.00	$4.00	-$3.00	$0.00	Mean Response.RT	241.00
2	Self3	SelfTask	19	female	18	LASelfMixed	1	952	List6	won	$6.00	$6.00	-$1.50	$0.00	Mean Response.RT	952.00
2	Self3	SelfTask	20	female	18	LASelfMixed	2	238	List6	lost	-$13.50	$9.00	-$13.50	$0.00	Mean Response.RT	238.00
2	Self3	SelfTask	21	female	18	LASelfMixed	1	355	List6	lost	-$5.63	$5.00	-$5.63	$0.00	Mean Response.RT	355.00
2	Self3	SelfTask	22	female	18	LASelfMixed	1	441	List6	lost	-$3.00	$6.00	-$3.00	$0.00	Mean Response.RT	441.00
2	Self3	SelfTask	23	female	18	LASelfMixed	1	229	List6	won	$10.00	$10.00	-$16.25	$0.00	Mean Response.RT	229.00
2	Self3	SelfTask	24	female	18	LASelfMixed	1	275	List6	won	$5.00	$5.00	-$2.50	$0.00	Mean Response.RT	275.00
2	Self3	SelfTask	25	female	18	LASelfGain	2	257	List6	lost	$0.00	$28.00	$0.00	$13.00	Mean Response.RT	257.00
2	Self3	SelfTask	26	female	18	LASelfMixed	1	255	List6	won	$10.00	$10.00	-$6.25	$0.00	Mean Response.RT	255.00
2	Self3	SelfTask	27	female	18	LASelfGain	1	485	List6	lost	$0.00	$12.00	$0.00	$5.00	Mean Response.RT	485.00
2	Self3	SelfTask	28	female	18	LASelfMixed	1	819	List6	lost	-$12.00	$12.00	-$12.00	$0.00	Mean Response.RT	819.00
