TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
17,17,0,$4.00 ,-$0.67,$0.00 ,won,$4.00,1.5,1.5,1,1.0,16.0,269.94986,6.0,271.95096,272.19208,2.0011082,0.001108148,0.24111909,272.29657,0.3455944,-1.6544056,275.65964,3.358881,3.3630831,0.004202274,275.66788,1.0007288,0.000728803,276.6686,6.718756,276.67444,got here,278.1756,1.5,1.5011793,0.001179363
18,18,0,$8.00 ,$0.00,$4.00 ,lost,$0.00,1.5,5,1,1.0,17.0,278.1909,6.0,280.19147,280.54108,2.0005937,0.000593767,0.34960368,280.64554,0.45404798,-1.545952,283.901,3.2503963,3.2554827,0.005086227,283.90662,1.0007985,0.00079850305,284.9074,6.7165236,284.91534,got here,289.91553,5.0,5.000195,0.00019498
19,19,0,$10.00 ,-$11.25,$0.00 ,lost,-$11.25,3,1.5,1,1.0,18.0,289.93045,5.0,291.93713,292.06198,2.006676,0.0066760248,0.12485018,292.16714,0.2300215,-1.7699785,297.1548,4.9751496,4.987638,0.012488296,297.16086,1.0004025,0.000402482,298.1613,8.230823,298.16925,got here,299.6703,1.5,1.5010631,0.001063158
20,20,0,$5.00 ,-$2.50,$0.00 ,lost,-$2.50,3,3,1,1.0,19.0,299.68396,6.0,301.68423,302.02545,2.000284,0.00028386698,0.34121558,302.12988,0.44564328,-1.5543567,306.8942,4.7587843,4.7642922,0.00550784,306.89914,1.0011618,0.001161827,307.9003,8.216321,307.90808,got here,310.90854,3.0,3.0004451,0.000445093
21,21,0,$6.00 ,-$4.50,$0.00 ,won,$6.00,5,7,1,1.0,20.0,310.92218,6.0,312.93356,313.18158,2.0113804,0.011380437,0.24800923,313.28607,0.3525288,-1.6474712,320.142,6.8519907,6.8559294,0.00393854,320.1467,1.0011668,0.001166822,321.1479,10.225701,321.15588,got here,328.15714,7.0,7.0012646,0.001264542
22,22,0,$22.40 ,$0.00,$4.80 ,won,$22.40,3,3,1,1.0,21.0,328.17188,6.0,330.1784,330.52713,2.0065231,0.006523185,0.34874123,330.63184,0.45342553,-1.5465745,335.38705,4.751259,4.7552395,0.003980627,335.39285,1.0011977,0.001197702,336.39407,8.222184,336.39957,got here,339.40027,3.0,3.0007107,0.000710777
23,23,0,$14.49 ,$0.00,$8.75 ,won,$14.49,1.5,1.5,1,1.0,22.0,339.41425,5.0,341.41562,341.5479,2.0013452,0.001345204,0.13231772,341.65268,0.2370749,-1.7629251,345.12503,3.4676824,3.4723537,0.004671414,345.13187,1.0007032,0.00070320896,346.13257,6.718317,346.1402,got here,347.64142,1.5,1.5012373,0.0012372821
24,24,0,$4.00 ,-$0.33,$0.00 ,won,$4.00,1.5,1.5,1,1.0,23.0,347.65585,6.0,349.65628,349.91354,2.0004182,0.00041816398,0.2572528,350.01834,0.36205453,-1.6379455,353.36514,3.3427472,3.3468227,0.004075659,353.37134,1.001231,0.001230987,354.3726,6.7167144,354.3792,got here,355.88046,1.5,1.5012573,0.00125731
25,25,0,$2.00 ,-$3.75,$0.00 ,won,$2.00,1.5,7,1,1.0,24.0,355.89383,5.0,357.8948,358.0362,2.00097,0.000969967,0.14140087,358.14062,0.24582644,-1.7541735,361.603,3.458599,3.4623766,0.003777372,361.61008,1.0003382,0.000338218,362.6104,6.716577,362.61823,got here,369.6186,7.0,7.0003505,0.000350506
26,26,0,$9.00 ,-$4.50,$0.00 ,won,$9.00,1.5,5,1,1.0,25.0,369.63226,6.0,371.6322,371.973,1.9999175,-8.2466984e-05,0.34081495,372.0774,0.4451901,-1.5548099,375.3419,3.259185,3.264516,0.005331188,375.34833,1.0011545,0.001154594,376.3495,6.7172213,376.3554,got here,381.35663,5.0,5.0012197,0.001219747
