TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.3588567,999.0,6.364639,8.364308,2.0057821,0.005782099,0.0,8.37095,2.006311,0.006310965,11.881221,3.5,3.5102708,0.01027094,11.896108,1.000229,0.00022902619,12.896337,8.53748,12.898006,got here,14.413969,1.5,1.5159621,0.015962165
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,14.430971,999.0,16.445461,18.445549,2.0144904,0.0144904815,0.0,18.450874,2.005412,0.005412002,21.961842,3.5,3.5109673,0.010967201,21.976837,1.0004964,0.00049639493,22.977333,8.546362,22.978554,got here,24.49386,1.5,1.5153066,0.015306633
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,24.509348,999.0,26.509274,28.50914,1.9999261,-7.38611e-05,0.0,28.51446,2.0051858,0.0051857755,35.526134,7.0,7.0116735,0.011673309,35.5398,1.0002604,0.00026032515,36.54006,12.030711,36.541218,got here,38.05711,1.5,1.5158949,0.015894879
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,38.07609,999.0,40.088455,42.088303,2.0123665,0.012366467,0.0,42.093422,2.004965,0.0049650576,49.10569,7.0,7.012268,0.012267847,49.12047,1.0006268,0.00062675006,50.121098,12.045006,50.122604,got here,53.13756,3.0,3.0149558,0.014955667
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,1.0,4.0,53.15341,999.0,55.167583,57.167904,2.0141716,0.014171667,0.0,57.17414,2.006559,0.006558963,60.684414,3.5,3.5102718,0.010271765,60.699997,1.0006683,0.000668332,61.70067,8.547255,61.702106,got here,63.216976,1.5,1.5148705,0.014870544
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,1.0,5.0,63.232124,999.0,65.248604,67.2484,2.0164773,0.016477324,0.0,67.25365,2.0050466,0.005046674,74.265045,7.0,7.0113945,0.011394628,74.28078,1.0004452,0.00044526998,75.28123,12.049101,75.28242,got here,78.296455,3.0,3.0140433,0.014043369
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,1.0,6.0,78.31206,999.0,80.32747,82.3274,2.0154107,0.015410619,0.0,82.332794,2.0053282,0.005328238,87.34494,5.0,5.0121427,0.012142446,87.36013,1.0012197,0.0012197951,88.36135,10.049291,88.36272,got here,89.876915,1.5,1.5141993,0.014199245
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,1.0,7.0,89.892426,999.0,91.90827,93.90836,2.0158465,0.0158466,0.0,93.91334,2.005072,0.0050721522,97.42575,3.5,3.5124104,0.01241049,97.44058,1.0008539,0.000853857,98.44144,8.549015,98.44335,got here,103.45779,5.0,5.0144343,0.014434554
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,1.0,8.0,103.47404,999.0,105.487434,107.48777,2.0133946,0.013394522,0.0,107.4933,2.0058684,0.005868534,111.004326,3.5,3.5110238,0.011023689,111.0193,1.0006151,0.0006151651,112.01991,8.545876,112.021225,got here,115.0397,3.0,3.0184736,0.018473638
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,1.0,9.0,115.053825,999.0,117.05892,119.06008,2.005094,0.0050940188,0.0,119.06566,2.0067399,0.0067397747,122.57588,3.5,3.5102184,0.010218389,122.58322,1.0004354,0.00043530203,123.58366,8.529829,123.58497,got here,130.60098,7.0,7.01601,0.016009817
