TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.1639824,999.0,6.170151,8.170051,2.006169,0.0061690398,1.9998996,8.275395,2.105244,0.10524387,9.886956,1.6001004,1.6115613,0.011460954,9.901537,1.0009815,0.000981395,10.902518,6.7385364,10.91802,got here,12.41834,1.5,1.5003195,0.000319537
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,12.437274,999.0,14.451938,16.452047,2.014664,0.014663904,2.0001087,16.556507,2.1045685,0.10456846,18.16799,1.5998913,1.6114829,0.011591537,18.184437,1.0005031,0.000503119,19.18494,6.747666,19.198864,got here,20.699125,1.5,1.5002605,0.000260518
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,20.714767,999.0,22.716438,24.714634,2.0016718,0.001671729,1.9981947,24.820143,2.1037047,0.10370465,29.933996,5.101805,5.113853,0.012047651,29.946632,1.0005207,0.00052073004,30.947153,10.232387,30.962933,got here,32.46334,1.5,1.5004095,0.00040943403
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,32.481064,999.0,34.49565,36.49585,2.0145876,0.014587565,2.0001986,36.60152,2.105869,0.105869,41.711903,5.0998015,5.1103854,0.010584087,41.727478,1.0011373,0.001137226,42.728615,10.247554,42.7437,got here,45.74441,3.0,3.0007126,0.00071264803
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,1.0,4.0,45.759003,999.0,47.759365,49.75809,2.0003605,0.000360573,1.998726,49.863503,2.10414,0.10414005,51.476154,1.601274,1.6126493,0.011375294,51.491215,1.0008094,0.00080937304,52.492023,6.7330217,52.507504,got here,54.007862,1.5,1.5003589,0.00035891903
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,1.0,5.0,54.022976,999.0,56.023586,58.02326,2.000609,0.00060881197,1.9996744,58.12862,2.1050353,0.10503533,63.240055,5.1003256,5.1114335,0.011108,63.255554,1.0010982,0.001098118,64.25665,10.233676,64.270096,got here,67.271454,3.0,3.001359,0.0013590599
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,1.0,6.0,67.2868,999.0,69.30245,71.30244,2.0156505,0.015650561,1.99999,71.40749,2.1050434,0.10504332,74.51934,3.10001,3.1118505,0.011840502,74.5345,1.0008297,0.00082973106,75.53533,8.24853,75.55086,got here,77.05125,1.5,1.5003916,0.000391574
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,1.0,7.0,77.06667,999.0,79.06659,81.06678,1.9999138,-8.619804e-05,2.0001926,81.17166,2.1050777,0.10507765,82.78454,1.5998075,1.6128775,0.013070061,82.80092,1.0012912,0.001291194,83.802216,6.7355394,83.816666,got here,88.8172,5.0,5.000531,0.00053124304
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,1.0,8.0,88.83298,999.0,90.84744,92.84732,2.0144684,0.014468492,1.9998738,92.95234,2.1048942,0.104894094,94.56479,1.6001263,1.6124474,0.012321146,94.57904,1.000641,0.000641024,95.57968,6.7467027,95.59577,got here,98.59673,3.0,3.0009646,0.00096471905
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,1.0,9.0,98.609245,999.0,100.611305,102.61221,2.002059,0.0020589451,2.0009117,102.718216,2.1069124,0.1069124,104.32718,1.5990882,1.608962,0.009873844,104.343254,1.0012702,0.001270215,105.34452,6.7352757,105.35975,got here,112.36001,7.0,7.0002604,0.000260149
