TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,0,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,1.0,0.0,14.136222,1.0,16.14319,16.77535,2.0069685,0.006968616,0.63215953,16.880697,0.73750734,-1.2624927,19.859499,2.9678404,2.9788003,0.010959841,19.874933,1.0012292,0.001229134,20.876163,6.739941,20.909601,got here,22.409882,1.5,1.5002817,0.00028173797
2,2,0,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,1.0,1.0,22.42675,1.0,24.42673,25.391428,1.9999784,-2.1613e-05,0.96469986,25.496847,1.0701183,-0.92988175,28.143862,2.6353002,2.6470146,0.011714509,28.158873,1.0013032,0.0013031859,29.160175,6.7334256,29.175169,got here,30.676413,1.5,1.5012444,0.001244419
3,3,0,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,1.0,2.0,30.691662,6.0,32.692326,33.54147,2.0006633,0.00066318805,0.8491452,33.64704,0.9547152,-1.0452849,39.91034,6.250855,6.2632995,0.012444569,39.925106,1.0012841,0.001284118,40.92639,10.234729,40.942257,got here,42.442944,1.5,1.5006832,0.000683218
4,4,0,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,1.0,3.0,42.459736,6.0,44.459568,45.07535,1.9998325,-0.000167464,0.6157824,45.18067,0.7211029,-1.2788972,51.67731,6.4842176,6.49664,0.012422497,51.692772,1.000446,0.00044592703,52.69322,10.23348,52.70793,got here,55.708267,3.0,3.0003364,0.000336294
5,5,0,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,1.0,4.0,55.721897,999.0,57.72584,59.725075,2.0039458,0.003945789,1.9992315,59.829735,2.1038928,0.103892766,61.442642,1.6007684,1.6129073,0.012138754,61.458126,1.0002425,0.00024245601,62.45837,6.7364726,62.47471,got here,63.975998,1.5,1.5012888,0.001288713
6,6,0,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,1.0,5.0,63.99485,999.0,66.00804,68.00808,2.0131893,0.013189204,2.0000374,68.11279,2.104757,0.10475709,73.22558,5.0999627,5.112781,0.012818605,73.241714,1.0011303,0.001130354,74.24284,10.247992,74.257866,got here,77.25914,3.0,3.001276,0.001275987
7,7,0,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,1.0,6.0,77.274025,999.0,79.27534,81.27491,2.0013082,0.001308316,1.999573,81.37951,2.1041737,0.10417356,84.491875,3.1004272,3.1123648,0.01193761,84.51043,1.001029,0.001029054,85.51146,8.23743,85.52403,got here,87.02525,1.5,1.501217,0.001216987
8,8,0,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,1.0,7.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,0,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
