Subject,SubName,Condition,SNS,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain,Include,IRI_Total,IRI_EC,IRI_PT,IRI_distress,IRI_fantasy,MPSS_Total,MPSS_friend,RSE
1,153,0,0,20,1,19,0,0,171,3,1,3.25,3.25,0,1,1,55,19,18,10,8,61,21,23
1,153,0,0,21,1,19,1,1,144,1,1,4,4,-1,0,1,68,21,19,7,21,49,20,25
1,153,0,0,22,1,19,0,0,1998,3,0,0,8,0,4.25,1,88,26,20,16,26,53,27,39
1,153,0,0,23,1,19,0,1,506,0,0,0,17,0,9,1,70,20,20,15,15,61,22,24
1,153,0,0,24,1,19,1,1,368,1,1,12,12,-18,0,1,90,24,26,15,25,82,28,23
1,153,0,0,25,1,19,1,0,182,3,0,-5,5,-5,0,1,70,19,21,11,19,72,24,20
1,153,0,0,26,1,19,0,,,,1,4,4,0,2.25,1,103,24,26,20,33,39,24,33
1,153,0,0,27,1,19,1,,,,0,-9,12,-9,0,1,79,22,20,17,20,42,20,21
1,153,0,0,28,1,19,1,1,118,1,1,8,8,-9,0,1,57,18,18,8,13,84,28,10
1,153,0,0,29,1,19,1,1,164,0,0,-4.38,5,-4.38,0,1,84,21,20,20,23,41,13,26
1,153,0,0,30,1,19,1,0,258,3,0,-13,8,-13,0,1,68,18,22,9,19,77,25,16
1,153,0,0,1,1,19,1,0,596,3,0,-2.25,2,-2.25,0,1,75,21,24,18,12,78,23,13
1,153,0,0,2,1,19,1,1,58,1,1,6,6,-4.5,0,1,70,21,17,20,12,62,21,26
1,153,0,0,3,1,19,1,1,167,1,1,2,2,-3.25,0,1,,,,,,,,
1,153,0,0,4,1,19,0,1,69,0,0,0,22,0,10,1,,,,,,,,
1,153,0,0,5,1,19,1,,,,1,9,9,-4.5,0,1,,,,,,,,
1,153,0,0,6,1,19,0,0,600,3,1,17,17,0,10,1,,,,,,,,
1,153,0,0,7,1,19,0,,,,1,4,4,0,2,1,,,,,,,,
1,153,0,0,8,1,19,1,1,43,0,0,-2,4,-2,0,1,,,,,,,,
1,153,0,0,9,1,19,0,,,,1,11,11,0,6,1,,,,,,,,
1,153,0,0,10,1,19,0,0,486,3,0,0,7,0,4,1,,,,,,,,
1,153,0,0,11,1,19,1,,,,0,-3.75,10,-3.75,0,1,,,,,,,,
1,153,0,0,12,1,19,1,,,,1,12,12,-24,0,1,,,,,,,,
1,153,0,0,13,1,19,1,,,,0,-10.5,6,-10.5,0,1,,,,,,,,
1,153,0,0,14,1,19,1,,,,0,-9.38,5,-9.38,0,1,,,,,,,,
1,153,0,0,15,1,19,1,,,,1,8,8,-5,0,1,,,,,,,,
1,153,0,0,16,1,19,1,,,,1,5,5,-3.13,0,1,,,,,,,,
1,153,0,0,17,1,19,0,0,613,3,0,0,30,0,12,1,,,,,,,,
1,153,0,0,18,1,19,1,0,1923,3,1,4,4,-7,0,1,,,,,,,,
1,153,0,0,19,1,19,1,1,1072,1,1,10,10,-13.75,0,1,,,,,,,,
1,153,0,0,20,1,19,1,0,1462,3,0,-15,8,-15,0,1,,,,,,,,
1,153,0,0,21,1,19,0,1,619,1,1,24,24,0,12,1,,,,,,,,
1,153,0,0,22,1,19,1,0,1049,3,0,-15,12,-15,0,1,,,,,,,,
1,153,0,0,23,1,19,1,1,863,0,0,-18,9,-18,0,1,,,,,,,,
1,153,0,0,24,1,19,0,0,308,3,1,13,13,0,5,1,,,,,,,,
