Analysis name: SLAEmpathy
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_Empathy_v1-159-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
1	PracticeTrials	Instructions	1	female	18	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	18	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	18	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	18	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	18	LASelfGain	2	861	List4	won	$10.00	$10.00	$0.00	$6.00	Mean Response.RT	861.00
2	Self1	SelfTask	2	female	18	LASelfMixed	2	403	List4	lost	-$15.75	$9.00	-$15.75	$0.00	Mean Response.RT	403.00
2	Self1	SelfTask	3	female	18	LASelfMixed	1	409	List4	lost	-$8.75	$10.00	-$8.75	$0.00	Mean Response.RT	409.00
2	Self1	SelfTask	4	female	18	LASelfMixed	2	1126	List4	won	$8.00	$8.00	-$2.00	$0.00	Mean Response.RT	1126.00
2	Self1	SelfTask	5	female	18	LASelfMixed	2	499	List4	lost	-$12.00	$6.00	-$12.00	$0.00	Mean Response.RT	499.00
2	Self1	SelfTask	6	female	18	LASelfMixed	2	298	List4	lost	-$18.75	$10.00	-$18.75	$0.00	Mean Response.RT	298.00
2	Self1	SelfTask	7	female	18	LASelfMixed	1	839	List4	won	$5.00	$5.00	-$8.13	$0.00	Mean Response.RT	839.00
2	Self1	SelfTask	8	female	18	LASelfGain	1	732	List4	lost	$0.00	$12.00	$0.00	$4.00	Mean Response.RT	732.00
2	Self1	SelfTask	9	female	18	LASelfMixed	1	969	List4	won	$9.00	$9.00	-$9.00	$0.00	Mean Response.RT	969.00
2	Self1	SelfTask	10	female	18	LASelfGain	2	479	List4	lost	$0.00	$22.00	$0.00	$13.00	Mean Response.RT	479.00
2	Self1	SelfTask	11	female	18	LASelfMixed	2	629	List4	lost	-$7.00	$8.00	-$7.00	$0.00	Mean Response.RT	629.00
2	Self1	SelfTask	12	female	18	LASelfMixed	2	282	List4	won	$4.00	$4.00	-$8.00	$0.00	Mean Response.RT	282.00
2	Self1	SelfTask	13	female	18	LASelfGain	1	256	List4	won	$25.00	$25.00	$0.00	$9.00	Mean Response.RT	256.00
2	Self1	SelfTask	14	female	18	LASelfMixed	2	821	List4	lost	-$3.75	$2.00	-$3.75	$0.00	Mean Response.RT	821.00
2	Self1	SelfTask	15	female	18	LASelfMixed	1	387	List4	won	$2.00	$2.00	-$1.25	$0.00	Mean Response.RT	387.00
2	Self1	SelfTask	16	female	18	LASelfMixed	2	409	List4	won	$6.00	$6.00	-$9.00	$0.00	Mean Response.RT	409.00
2	Self1	SelfTask	17	female	18	LASelfGain	1	278	List4	won	$13.00	$13.00	$0.00	$6.00	Mean Response.RT	278.00
2	Self1	SelfTask	18	female	18	LASelfMixed	2	52	List4	lost	-$4.00	$4.00	-$4.00	$0.00	Mean Response.RT	52.00
2	Self1	SelfTask	19	female	18	LASelfGain	1	82	List4	won	$7.00	$7.00	$0.00	$3.00	Mean Response.RT	82.00
2	Self1	SelfTask	20	female	18	LASelfGain	1	704	List4	won	$3.25	$3.25	$0.00	$1.00	Mean Response.RT	704.00
2	Self1	SelfTask	21	female	18	LASelfMixed	1	550	List4	won	$4.00	$4.00	-$1.00	$0.00	Mean Response.RT	550.00
2	Self1	SelfTask	22	female	18	LASelfGain	1	834	List4	lost	$0.00	$8.00	$0.00	$4.25	Mean Response.RT	834.00
2	Self1	SelfTask	23	female	18	LASelfGain	1	760	List4	lost	$0.00	$17.00	$0.00	$9.00	Mean Response.RT	760.00
2	Self1	SelfTask	24	female	18	LASelfMixed	2	462	List4	won	$12.00	$12.00	-$18.00	$0.00	Mean Response.RT	462.00
2	Self1	SelfTask	25	female	18	LASelfMixed	1	1956	List4	lost	-$5.00	$5.00	-$5.00	$0.00	Mean Response.RT	1956.00
2	Self1	SelfTask	26	female	18	LASelfGain	1	312	List4	won	$4.00	$4.00	$0.00	$2.25	Mean Response.RT	312.00
2	Self1	SelfTask	27	female	18	LASelfMixed	1	1366	List4	lost	-$9.00	$12.00	-$9.00	$0.00	Mean Response.RT	1366.00
2	Self1	SelfTask	28	female	18	LASelfMixed	1	420	List4	won	$8.00	$8.00	-$9.00	$0.00	Mean Response.RT	420.00
2	Self1	SelfTask	29	female	18	LASelfMixed	2	346	List4	lost	-$4.38	$5.00	-$4.38	$0.00	Mean Response.RT	346.00
2	Self1	SelfTask	30	female	18	LASelfMixed	2	344	List4	lost	-$13.00	$8.00	-$13.00	$0.00	Mean Response.RT	344.00
2	Self2	SelfTask	1	female	18	LASelfMixed	2	1030	List5	lost	-$2.25	$2.00	-$2.25	$0.00	Mean Response.RT	1030.00
2	Self2	SelfTask	2	female	18	LASelfMixed	2	587	List5	won	$6.00	$6.00	-$4.50	$0.00	Mean Response.RT	587.00
2	Self2	SelfTask	3	female	18	LASelfMixed	2	753	List5	won	$2.00	$2.00	-$3.25	$0.00	Mean Response.RT	753.00
2	Self2	SelfTask	4	female	18	LASelfGain	1	351	List5	lost	$0.00	$22.00	$0.00	$10.00	Mean Response.RT	351.00
2	Self2	SelfTask	5	female	18	LASelfMixed	2	308	List5	won	$9.00	$9.00	-$4.50	$0.00	Mean Response.RT	308.00
2	Self2	SelfTask	6	female	18	LASelfGain		0	List5	won	$17.00	$17.00	$0.00	$10.00	Mean Response.RT	0.00
2	Self2	SelfTask	7	female	18	LASelfGain	1	383	List5	won	$4.00	$4.00	$0.00	$2.00	Mean Response.RT	383.00
2	Self2	SelfTask	8	female	18	LASelfMixed	2	845	List5	lost	-$2.00	$4.00	-$2.00	$0.00	Mean Response.RT	845.00
2	Self2	SelfTask	9	female	18	LASelfGain	1	970	List5	won	$11.00	$11.00	$0.00	$6.00	Mean Response.RT	970.00
2	Self2	SelfTask	10	female	18	LASelfGain	1	567	List5	lost	$0.00	$7.00	$0.00	$4.00	Mean Response.RT	567.00
2	Self2	SelfTask	11	female	18	LASelfMixed	2	525	List5	lost	-$3.75	$10.00	-$3.75	$0.00	Mean Response.RT	525.00
2	Self2	SelfTask	12	female	18	LASelfMixed	2	451	List5	won	$12.00	$12.00	-$24.00	$0.00	Mean Response.RT	451.00
2	Self2	SelfTask	13	female	18	LASelfMixed		0	List5	lost	-$10.50	$6.00	-$10.50	$0.00	Mean Response.RT	0.00
2	Self2	SelfTask	14	female	18	LASelfMixed	2	574	List5	lost	-$9.38	$5.00	-$9.38	$0.00	Mean Response.RT	574.00
2	Self2	SelfTask	15	female	18	LASelfMixed	2	323	List5	won	$8.00	$8.00	-$5.00	$0.00	Mean Response.RT	323.00
2	Self2	SelfTask	16	female	18	LASelfMixed	1	801	List5	won	$5.00	$5.00	-$3.13	$0.00	Mean Response.RT	801.00
2	Self2	SelfTask	17	female	18	LASelfGain	1	303	List5	lost	$0.00	$30.00	$0.00	$12.00	Mean Response.RT	303.00
2	Self2	SelfTask	18	female	18	LASelfMixed	2	732	List5	won	$4.00	$4.00	-$7.00	$0.00	Mean Response.RT	732.00
2	Self2	SelfTask	19	female	18	LASelfMixed	2	346	List5	won	$10.00	$10.00	-$13.75	$0.00	Mean Response.RT	346.00
2	Self2	SelfTask	20	female	18	LASelfMixed	2	744	List5	lost	-$15.00	$8.00	-$15.00	$0.00	Mean Response.RT	744.00
2	Self2	SelfTask	21	female	18	LASelfGain	2	493	List5	won	$24.00	$24.00	$0.00	$12.00	Mean Response.RT	493.00
2	Self2	SelfTask	22	female	18	LASelfMixed	2	619	List5	lost	-$15.00	$12.00	-$15.00	$0.00	Mean Response.RT	619.00
2	Self2	SelfTask	23	female	18	LASelfMixed	2	384	List5	lost	-$18.00	$9.00	-$18.00	$0.00	Mean Response.RT	384.00
2	Self2	SelfTask	24	female	18	LASelfGain	1	669	List5	won	$13.00	$13.00	$0.00	$5.00	Mean Response.RT	669.00
2	Self2	SelfTask	25	female	18	LASelfMixed	1	923	List5	won	$2.00	$2.00	-$0.75	$0.00	Mean Response.RT	923.00
2	Self2	SelfTask	26	female	18	LASelfMixed	1	833	List5	lost	-$6.00	$12.00	-$6.00	$0.00	Mean Response.RT	833.00
2	Self2	SelfTask	27	female	18	LASelfGain		0	List5	lost	$0.00	$8.00	$0.00	$3.00	Mean Response.RT	0.00
2	Self2	SelfTask	28	female	18	LASelfMixed	2	436	List5	won	$8.00	$8.00	-$6.00	$0.00	Mean Response.RT	436.00
2	Self2	SelfTask	29	female	18	LASelfMixed	2	778	List5	lost	-$5.00	$4.00	-$5.00	$0.00	Mean Response.RT	778.00
2	Self2	SelfTask	30	female	18	LASelfMixed	2	744	List5	lost	-$6.00	$6.00	-$6.00	$0.00	Mean Response.RT	744.00
2	Self3	SelfTask	1	female	18	LASelfMixed	2	1299	List6	won	$9.00	$9.00	-$11.25	$0.00	Mean Response.RT	1299.00
2	Self3	SelfTask	2	female	18	LASelfMixed	2	800	List6	won	$12.00	$12.00	-$21.00	$0.00	Mean Response.RT	800.00
2	Self3	SelfTask	3	female	18	LASelfMixed	2	461	List6	won	$5.00	$5.00	-$6.88	$0.00	Mean Response.RT	461.00
2	Self3	SelfTask	4	female	18	LASelfMixed	1	667	List6	lost	-$3.00	$12.00	-$3.00	$0.00	Mean Response.RT	667.00
2	Self3	SelfTask	5	female	18	LASelfGain	1	409	List6	won	$5.00	$5.00	$0.00	$2.00	Mean Response.RT	409.00
2	Self3	SelfTask	6	female	18	LASelfMixed	2	1151	List6	lost	-$6.75	$9.00	-$6.75	$0.00	Mean Response.RT	1151.00
2	Self3	SelfTask	7	female	18	LASelfGain		0	List6	lost	$0.00	$26.00	$0.00	$10.00	Mean Response.RT	0.00
2	Self3	SelfTask	8	female	18	LASelfMixed	2	1106	List6	won	$8.00	$8.00	-$3.00	$0.00	Mean Response.RT	1106.00
2	Self3	SelfTask	9	female	18	LASelfGain	2	1440	List6	won	$19.00	$19.00	$0.00	$8.00	Mean Response.RT	1440.00
2	Self3	SelfTask	10	female	18	LASelfGain	2	718	List6	lost	$0.00	$25.00	$0.00	$10.00	Mean Response.RT	718.00
2	Self3	SelfTask	11	female	18	LASelfMixed	1	164	List6	lost	-$1.88	$5.00	-$1.88	$0.00	Mean Response.RT	164.00
2	Self3	SelfTask	12	female	18	LASelfMixed	2	617	List6	lost	-$2.75	$2.00	-$2.75	$0.00	Mean Response.RT	617.00
2	Self3	SelfTask	13	female	18	LASelfMixed	2	1031	List6	won	$2.00	$2.00	-$1.75	$0.00	Mean Response.RT	1031.00
2	Self3	SelfTask	14	female	18	LASelfMixed	2	556	List6	lost	-$11.25	$10.00	-$11.25	$0.00	Mean Response.RT	556.00
2	Self3	SelfTask	15	female	18	LASelfGain	2	490	List6	lost	$0.00	$5.00	$0.00	$3.00	Mean Response.RT	490.00
2	Self3	SelfTask	16	female	18	LASelfMixed	2	775	List6	won	$9.00	$9.00	-$2.25	$0.00	Mean Response.RT	775.00
2	Self3	SelfTask	17	female	18	LASelfMixed	2	940	List6	lost	-$11.00	$8.00	-$11.00	$0.00	Mean Response.RT	940.00
2	Self3	SelfTask	18	female	18	LASelfMixed	2	522	List6	won	$4.00	$4.00	-$3.00	$0.00	Mean Response.RT	522.00
2	Self3	SelfTask	19	female	18	LASelfMixed	2	441	List6	won	$6.00	$6.00	-$1.50	$0.00	Mean Response.RT	441.00
2	Self3	SelfTask	20	female	18	LASelfMixed	2	910	List6	lost	-$13.50	$9.00	-$13.50	$0.00	Mean Response.RT	910.00
2	Self3	SelfTask	21	female	18	LASelfMixed	1	739	List6	lost	-$5.63	$5.00	-$5.63	$0.00	Mean Response.RT	739.00
2	Self3	SelfTask	22	female	18	LASelfMixed	1	944	List6	lost	-$3.00	$6.00	-$3.00	$0.00	Mean Response.RT	944.00
2	Self3	SelfTask	23	female	18	LASelfMixed	2	574	List6	won	$10.00	$10.00	-$16.25	$0.00	Mean Response.RT	574.00
2	Self3	SelfTask	24	female	18	LASelfMixed	1	636	List6	won	$5.00	$5.00	-$2.50	$0.00	Mean Response.RT	636.00
2	Self3	SelfTask	25	female	18	LASelfGain	2	1881	List6	lost	$0.00	$28.00	$0.00	$13.00	Mean Response.RT	1881.00
2	Self3	SelfTask	26	female	18	LASelfMixed	2	1406	List6	won	$10.00	$10.00	-$6.25	$0.00	Mean Response.RT	1406.00
2	Self3	SelfTask	27	female	18	LASelfGain	1	613	List6	lost	$0.00	$12.00	$0.00	$5.00	Mean Response.RT	613.00
