TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.5772614,1.0,6.585168,7.133386,2.0079064,0.007906415,0.5482183,7.6391397,1.053972,-0.94602805,10.603928,2.9517817,2.9647877,0.013005991,10.6175,1.0006675,0.000667437,11.618168,7.0409064,11.620181,None,13.135152,1.5,1.5149708,0.014970786
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,13.1508,999.0,15.150785,17.150839,1.9999864,-1.3595913e-05,0.0,17.160028,2.0092432,0.009243287,20.666813,3.5,3.5067837,0.0067837182,20.683905,1.0012484,0.0012483711,21.685152,8.534353,21.687433,None,23.200909,1.5,1.5134766,0.013476654
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,23.21571,2.0,25.218987,25.900078,2.0032775,0.0032775209,0.68109035,26.4059,1.1869127,-0.81308734,32.736942,6.3189096,6.3310423,0.012132889,32.75001,1.0012542,0.0012542221,33.751266,10.535556,33.75249,None,35.2676,1.5,1.5151123,0.015112283
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,35.284122,1.0,37.284443,38.449997,2.0003207,0.00032056402,1.1655533,38.95561,1.6711664,-0.32883364,44.80334,5.8344464,5.8477335,0.013286776,44.817238,1.0012184,0.0012184379,45.818455,10.534332,45.819733,None,48.834167,3.0,3.014432,0.01443201
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,1.0,4.0,48.848167,1.0,50.849613,51.049644,2.0014489,0.001448951,0.20002852,51.554897,0.7052844,-1.2947156,54.86817,3.2999716,3.3132725,0.01330104,54.88435,1.0012139,0.001213928,55.885563,7.037397,55.88676,None,57.40129,1.5,1.5145285,0.014528462
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,1.0,5.0,57.416145,999.0,59.416832,61.417408,2.0006843,0.00068416796,0.0,61.42828,2.0114472,0.011447083,68.450966,7.0,7.0226855,0.022685384,68.466995,1.0011691,0.0011690911,69.46816,12.052015,69.46937,None,72.48385,3.0,3.0144782,0.014478318
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,1.0,6.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
