TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,5.939883,999.0,7.9464774,9.945151,2.0065942,0.006594129,1.9986734,10.05031,2.1038327,0.10383273,11.663597,1.6013265,1.6132865,0.011960029,11.678248,1.0014212,0.001421223,12.679669,6.7397866,12.694697,got here,14.195867,1.5,1.501169,0.001168974
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,14.211679,999.0,16.22732,18.227127,2.0156405,0.015640566,1.9998071,18.33181,2.1044905,0.10449046,19.94473,1.6001928,1.6129203,0.01272744,19.958723,1.0003502,0.000350238,20.959074,6.7473946,20.97538,got here,22.47654,1.5,1.5011603,0.0011602519
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,22.49186,999.0,24.492556,26.49136,2.0006964,0.000696407,1.9988039,26.596212,2.1036563,0.103656344,31.709122,5.1011963,5.1129093,0.011713239,31.72421,1.0011616,0.001161572,32.725372,10.233514,32.739403,got here,34.2403,1.5,1.5008941,0.00089411496
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,34.256794,999.0,36.272152,38.27231,2.0153549,0.015354756,2.0001588,38.37698,2.104829,0.10482903,43.489254,5.099841,5.112273,0.012432102,43.503685,1.0012867,0.001286773,44.50497,10.248176,44.520657,got here,47.521263,3.0,3.0006073,0.000607226
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,1.0,4.0,47.53488,999.0,49.53674,51.534515,2.0018559,0.001855831,1.9977764,51.64272,2.1059818,0.10598175,53.253864,1.6022235,1.6111445,0.008921027,53.26778,1.0003382,0.00033816503,54.26812,6.7332373,54.28471,got here,55.785004,1.5,1.5002961,0.00029612804
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,1.0,5.0,55.799805,999.0,57.79995,59.800213,2.0001447,0.00014482904,2.0002656,59.904953,2.1050034,0.105003454,65.01581,5.0997343,5.1108603,0.011125904,65.029945,1.0013286,0.0013285701,66.03127,10.23147,66.04812,got here,69.04943,3.0,3.0013182,0.0013181451
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,1.0,6.0,69.06436,999.0,71.07933,73.07972,2.0149693,0.014969348,2.0003927,73.18444,2.1051116,0.10511159,76.29598,3.0996075,3.1115398,0.011932522,76.31094,1.0003943,0.000394325,77.31133,8.246977,77.32756,got here,78.827774,1.5,1.5002156,0.00021559797
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,1.0,7.0,78.84264,999.0,80.843544,82.84334,2.0008993,0.000899242,1.9997935,82.94798,2.1044369,0.10443698,84.560326,1.6002065,1.6123458,0.012139328,84.576385,1.0013413,0.001341359,85.57772,6.7350774,85.591415,got here,90.59175,5.0,5.0003347,0.000334894
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,1.0,8.0,90.60704,999.0,92.6073,94.6069,2.0002582,0.00025809102,1.9996085,94.71148,2.1041858,0.10418574,96.32406,1.6003915,1.6125777,0.012186252,96.33889,1.0011888,0.001188752,97.34008,6.7330422,97.35551,got here,100.35593,3.0,3.000418,0.000417965
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,1.0,9.0,100.368324,999.0,102.37195,104.37118,2.0036232,0.00362336,1.999235,104.47572,2.1037753,0.10377527,106.08941,1.600765,1.6136863,0.012921376,106.1029,1.0010413,0.001041237,107.10394,6.7356167,107.119774,got here,114.120995,7.0,7.0012155,0.0012153729
