TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset,finalITI_onset,finalITI_offset
1,1,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,1,0,1.0,0.0,4.7079444,2.0,$0.00 ,8.715554,4.00761,-2.0076098,9.2527,9.264906,-0.50760984,0.012205899,0.51981574,9.26666,11.282641,6.574697,11.292992,12.797707,--,--
2,2,$2.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,1,0,1.0,1.0,12.802569,2.0,$0.00 ,16.815527,4.012958,-2.012958,17.334435,17.34792,-0.5129581,0.013485032,0.5264431,17.349676,19.365643,6.563074,19.375994,20.881886,--,--
3,3,$8.00 ,-$1.33,$0.00 ,lost,-$1.33,5,1.5,1,0,1.0,2.0,20.88666,1.0,lost,24.898893,4.0122347,-2.012235,25.434982,28.436153,2.987765,3.0011706,0.013405522,28.437223,30.449205,9.562547,31.931198,33.448925,--,--
4,4,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,5,3,1,0,1.0,3.0,33.45171,999.0,999,37.46966,0.0,0.0,37.476444,44.49947,7.0,7.0230255,0.023025507,44.500576,46.514565,13.062857,46.5248,49.53205,--,--
5,5,$8.00 ,-$11.00,$0.00 ,won,$8.00,1.5,1.5,1,0,1.0,4.0,49.534897,1.0,won,53.548183,4.013285,-2.0132852,54.085903,54.097927,-0.5132851,0.012021863,0.52530694,54.09949,56.115475,6.580576,56.12575,57.63154,--,--
6,6,$4.00 ,-$0.67,$0.00 ,lost,-$0.67,5,3,1,0,1.0,5.0,57.63554,1.0,lost,61.64806,4.0125213,-2.0125215,62.186054,65.18536,2.9874785,2.999307,0.011828425,65.186455,67.19899,9.563454,68.65062,71.664566,--,--
7,7,$2.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,1,0,1.0,6.0,71.667595,2.0,$0.00 ,75.681114,4.0135174,-2.0135174,76.21924,77.2184,0.9864826,0.9991622,0.012679575,77.21945,79.23108,7.5634828,79.24134,80.747505,80.74772,82.417465
