TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.8590713,999.0,6.8641095,8.830314,2.0050383,0.005038306,0.0,8.936296,2.0721867,0.0721867,12.5465765,3.6,3.6102803,0.010280378,12.565328,1.0009229,0.00092290796,13.566251,8.70718,13.57669,got here,15.096179,1.5,1.5194892,0.01948919
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,15.116084,999.0,17.12975,19.12721,2.013665,0.013664895,0.0,19.231747,2.101998,0.101998016,22.845198,3.6,3.613451,0.013450946,22.860153,1.0012401,0.001240082,23.861393,8.745309,23.862612,got here,25.376835,1.5,1.5142231,0.014223134
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,25.39198,999.0,27.394773,29.30947,2.0027952,0.002795257,0.0,29.415686,2.0209122,0.020912087,36.53868,7.1,7.1229944,0.02299441,36.56105,1.0001559,0.00015587802,37.561207,12.169227,37.5628,got here,39.08123,1.5,1.5184271,0.018427113
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,39.09843,999.0,41.110294,43.112553,2.0118616,0.011861664,0.0,43.217197,2.106904,0.106904104,50.343544,7.1,7.1263456,0.026345775,50.35257,1.0006443,0.00064433704,51.353214,12.254783,51.35443,got here,54.3696,3.0,3.0151653,0.015165434
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,1.0,4.0,54.384212,999.0,56.384575,58.399582,2.0003595,0.000359617,0.0,58.505096,2.120523,0.12052288,62.117157,3.6,3.612059,0.012059103,62.136787,1.0007647,0.000764753,63.13755,8.753337,63.139317,got here,64.64824,1.5,1.508921,0.00892101
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,1.0,5.0,64.663734,999.0,66.664856,68.66356,2.0011213,0.00112122,0.0,68.768585,2.1037288,0.10372881,75.87992,7.1,7.1113334,0.011333251,75.895615,1.0002311,0.00023111398,76.89584,12.23211,76.89718,got here,79.91328,3.0,3.0160956,0.016095607
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,1.0,6.0,79.92916,999.0,81.94421,83.94292,2.0150468,0.015046737,0.0,84.04908,2.1048753,0.10487532,89.160515,5.1,5.1114297,0.01142956,89.17499,1.0002224,0.000222464,90.17521,10.246052,90.1764,got here,91.69183,1.5,1.5154387,0.015438699
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,1.0,7.0,91.70946,999.0,93.72354,95.723595,2.0140831,0.014083034,0.0,95.82807,2.1045282,0.10452829,99.440674,3.6,3.612608,0.012607858,99.455925,1.0012118,0.0012117419,100.45713,8.747676,100.458275,got here,105.47322,5.0,5.014947,0.014946744
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,1.0,8.0,105.48836,999.0,107.49067,109.503105,2.0023177,0.002317655,0.0,109.608,2.1173275,0.11732742,113.219826,3.6,3.611828,0.011828054,113.2382,1.000962,0.00096197403,114.23916,8.750807,114.240326,got here,117.25244,3.0,3.012114,0.012113995
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,1.0,9.0,117.2648,999.0,119.26759,121.267075,2.0027952,0.002795124,0.0,121.37159,2.104,0.10400021,124.98369,3.6,3.6120982,0.012098247,124.99862,1.0009713,0.000971291,125.99959,8.73479,126.00127,got here,133.01656,7.0,7.015292,0.015292371
11,11,$10.00 ,($3.75),$0.00 ,lost,($3.75),5,5,1,0,1.0,10.0,133.03004,999.0,135.03062,137.0296,2.0005863,0.000586199,0.0,137.13585,2.1052153,0.10521528,144.24687,7.1,7.111023,0.011023138,144.26062,1.0001915,0.00019141601,145.26082,12.230773,145.26196,got here,150.27715,5.0,5.015181,0.015180888
12,12,$10.00 ,($6.25),$0.00 ,won,$10.00 ,3,5,1,0,1.0,11.0,150.2897,999.0,152.2931,154.29134,2.003406,0.003405938,0.0,154.39558,2.102478,0.10247796,159.50789,5.1,5.1123085,0.012308393,159.52245,1.0001765,0.00017659602,160.52263,10.232922,160.52446,got here,165.5401,5.0,5.0156407,0.015640633
13,13,$6.00 ,($10.50),$0.00 ,lost,($10.50),3,1.5,1,0,1.0,12.0,165.55388,999.0,167.55779,169.57018,2.003914,0.003914092,0.0,169.67517,2.1173873,0.1173873,174.78789,5.1,5.1127124,0.012712359,174.80226,1.0012232,0.001223249,175.8035,10.2496195,175.80476,got here,177.31982,1.5,1.5150567,0.01505676
14,14,$12.00 ,($21.00),$0.00 ,won,$12.00 ,3,3,1,0,1.0,13.0,177.33363,999.0,179.3343,181.33398,2.000675,0.000674858,0.0,181.43929,2.1049793,0.104979284,186.5515,5.1,5.112211,0.012211164,186.56616,1.0002812,0.000281184,187.56645,10.232821,187.56752,got here,190.58368,3.0,3.0161493,0.016149398
15,15,$6.00 ,($9.00),$0.00 ,lost,($9.00),1.5,5,1,0,1.0,14.0,190.59677,999.0,192.59964,194.59714,2.002879,0.002878861,0.0,194.70158,2.1019332,0.10193313,198.31448,3.6,3.6129093,0.012909266,198.33044,1.0006137,0.000613687,199.33105,8.734288,199.33221,got here,204.34677,5.0,5.0145555,0.014555221
16,16,$32.00 ,$0.00 ,$0.00 ,lost,$0.00 ,1.5,1.5,1,0,1.0,15.0,204.3623,999.0,206.37836,208.37772,2.01604,0.016040105,0.0,208.48253,2.1041803,0.10418041,212.0945,3.6,3.611964,0.011963928,212.1092,1.001107,0.001106924,213.11032,8.748002,213.11136,got here,214.62646,1.5,1.515106,0.015106021
17,17,$4.00 ,($0.67),$0.00 ,won,$4.00 ,1.5,1.5,1,0,1.0,16.0,214.63986,999.0,216.64214,218.6401,2.002269,0.002269022,0.0,218.74521,2.103069,0.10306901,222.35785,3.6,3.6126401,0.012640247,222.37294,1.0002441,0.00024413,223.37318,8.73332,223.37534,got here,224.89024,1.5,1.5149107,0.014910664
18,18,$8.00 ,$0.00 ,$4.00 ,lost,$0.00 ,1.5,5,1,0,1.0,17.0,224.90625,999.0,226.9228,228.92113,2.0165641,0.016564183,0.0,229.03004,2.1072314,0.10723131,232.63863,3.6,3.6085842,0.008584111,232.6541,1.0012372,0.00123719,233.65533,8.749097,233.6565,got here,238.67119,5.0,5.0146985,0.014698526
19,19,$10.00 ,($11.25),$0.00 ,lost,($11.25),3,1.5,1,0,1.0,18.0,238.68617,999.0,240.68916,242.58961,2.0029864,0.00298638,0.0,242.69463,2.0054727,0.005472568,247.7977,5.1,5.1030684,0.003068231,247.80144,1.0006049,0.000604822,248.80205,10.11587,248.80325,got here,250.31627,1.5,1.5130252,0.013025224
20,20,$5.00 ,($2.50),$0.00 ,lost,($2.50),3,3,1,0,1.0,19.0,250.32967,999.0,252.33296,254.33101,2.0033088,0.003308797,0.0,254.43602,2.103055,0.103055075,259.5487,5.1,5.112697,0.012697071,259.56516,1.0011196,0.001119673,260.56628,10.236614,260.56787,got here,263.58044,3.0,3.0125694,0.012569312
21,21,$6.00 ,($4.50),$0.00 ,won,$6.00 ,5,7,1,0,1.0,20.0,263.5941,999.0,265.59598,267.595,2.001892,0.001891988,0.0,267.70007,2.1040895,0.10408954,274.81262,7.1,7.112545,0.012544843,274.8258,1.0001856,0.00018556102,275.826,12.231913,275.82718,got here,282.84424,7.0,7.017051,0.017051395
22,22,$22.40 ,$0.00 ,$4.80 ,won,$22.40 ,3,3,1,0,1.0,21.0,282.85913,999.0,284.87296,286.8733,2.0138316,0.013831732,0.0,286.97787,2.104916,0.10491618,292.0899,5.1,5.112034,0.012033927,292.1044,1.0006387,0.00063877,293.10504,10.245896,293.10617,got here,296.1211,3.0,3.0149112,0.014911265
23,23,$14.49 ,$0.00 ,$8.75 ,won,$14.49 ,1.5,1.5,1,0,1.0,22.0,296.1357,999.0,298.13684,300.13593,2.001126,0.001125994,0.0,300.24094,2.1040988,0.104098715,303.8542,3.6,3.6132228,0.013222778,303.8672,1.0001771,0.00017711002,304.86737,8.731652,304.8686,got here,306.3847,1.5,1.5161161,0.016116185
24,24,$4.00 ,($0.33),$0.00 ,won,$4.00 ,1.5,1.5,1,0,1.0,23.0,306.39978,999.0,308.4009,310.39932,2.0011349,0.001134888,0.0,310.50867,2.1077592,0.10775927,314.1159,3.6,3.6072178,0.00721786,314.13086,1.0002006,0.000200588,315.13107,8.731286,315.13297,got here,316.64853,1.5,1.5155668,0.015566824
25,25,$2.00 ,($3.75),$0.00 ,won,$2.00 ,1.5,7,1,0,1.0,24.0,316.66232,999.0,318.6645,320.66336,2.0021534,0.002153363,0.0,320.7704,2.1058984,0.105898425,324.38022,3.6,3.6098206,0.009820601,324.3948,1.0010223,0.001022335,325.3958,8.733494,325.3972,got here,332.41254,7.0,7.015346,0.015346011
26,26,$9.00 ,($4.50),$0.00 ,won,$9.00 ,1.5,5,1,0,1.0,25.0,332.42642,999.0,334.44266,336.44266,2.0162175,0.0162174,0.0,336.54907,2.106405,0.10640509,340.15955,3.6,3.610494,0.01049389,340.1766,1.0009701,0.00097015,341.17758,8.751148,341.17874,got here,346.19098,5.0,5.012244,0.012244454
27,27,$12.00 ,($12.00),$0.00 ,won,$12.00 ,5,7,1,0,1.0,26.0,346.20493,999.0,348.20703,350.20813,2.0020778,0.002077732,0.0,350.31287,2.1058602,0.105860315,357.422,7.1,7.109133,0.009132875,357.43747,1.0002296,0.00022954901,358.4377,12.232764,358.43973,got here,365.45416,7.0,7.014457,0.014457152
28,28,$12.00 ,($18.00),$0.00 ,lost,($18.00),1.5,3,1,0,1.0,27.0,365.46768,999.0,367.4676,369.46658,1.9999001,-9.991802e-05,0.0,369.57556,2.1079795,0.10797953,373.18295,3.6,3.607396,0.007395943,373.20187,1.0007095,0.000709558,374.20258,8.734891,374.20386,got here,377.2153,3.0,3.0114388,0.011438787
29,29,$6.00 ,($7.50),$0.00 ,lost,($7.50),1.5,3,1,0,1.0,28.0,377.22916,999.0,379.23123,381.23062,2.0020635,0.002063435,0.0,381.33627,2.105047,0.1050469,384.94714,3.6,3.6108618,0.010861754,384.96283,1.000603,0.00060290704,385.96344,8.734269,385.96497,got here,388.9802,3.0,3.0152297,0.015229734
30,30,$2.00 ,($3.25),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,29.0,388.99454,999.0,390.99496,392.99472,2.0004172,0.000417148,0.0,393.1001,2.1051292,0.10512933,396.71216,3.6,3.612078,0.012077958,396.72614,1.0009208,0.000920809,397.72705,8.732505,397.72876,got here,399.24338,1.5,1.51462,0.014620002
31,31,$17.38 ,$0.00 ,$7.31 ,lost,$0.00 ,3,1.5,1,0,1.0,30.0,399.26065,999.0,401.27466,403.27524,2.0140066,0.014006713,0.0,403.3807,2.1060681,0.106068075,408.49277,5.1,5.1120424,0.012042382,408.5077,1.0012887,0.0012886301,409.50897,10.248342,409.51035,got here,411.0263,1.5,1.5159492,0.01594927
32,32,$8.00 ,($2.00),$0.00 ,won,$8.00 ,1.5,1.5,1,0,1.0,31.0,411.0413,999.0,413.05664,415.05414,2.0153568,0.015356712,0.0,415.15915,2.1025083,0.10250821,418.77094,3.6,3.6117861,0.01178603,418.78778,1.000233,0.000233031,419.788,8.7467165,419.78955,last trial of block,419.8026,nan,0.013071489,nan
33,33,$5.00 ,($5.63),$0.00 ,won,$5.00 ,5,1.5,2,0,1.0,32.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,$24.92 ,$0.00 ,$11.54 ,lost,$0.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,$8.00 ,($13.00),$0.00 ,won,$8.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,$10.67 ,$0.00 ,$10.67 ,won,$10.67 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,$24.21 ,$0.00 ,$11.89 ,lost,$0.00 ,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,$12.00 ,($24.00),$0.00 ,won,$12.00 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,$2.00 ,($2.75),$0.00 ,won,$2.00 ,3,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,$9.00 ,($13.50),$0.00 ,lost,($13.50),1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,$5.00 ,($4.38),$0.00 ,won,$5.00 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,$2.00 ,($1.75),$0.00 ,lost,($1.75),1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,$5.00 ,($8.13),$0.00 ,won,$5.00 ,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,$5.00 ,($6.88),$0.00 ,won,$5.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,$4.00 ,($6.00),$0.00 ,lost,($6.00),3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,$9.82 ,$0.00 ,$3.09 ,lost,$0.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,$8.49 ,$0.00 ,$3.76 ,won,$8.49 ,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,$13.25 ,$0.00 ,$9.37 ,won,$13.25 ,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,$8.00 ,($7.00),$0.00 ,lost,($7.00),5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,$16.79 ,$0.00 ,$7.60 ,lost,$0.00 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,$2.00 ,($1.25),$0.00 ,lost,($1.25),1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,$15.28 ,$0.00 ,$8.36 ,won,$15.28 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,$5.00 ,($0.63),$0.00 ,won,$5.00 ,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,$9.00 ,($2.25),$0.00 ,lost,($2.25),1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,55,$10.00 ,($8.75),$0.00 ,lost,($8.75),3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,56,$15.86 ,$0.00 ,$8.07 ,lost,$0.00 ,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,57,$26.76 ,$0.00 ,$10.62 ,lost,$0.00 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,58,$8.00 ,($5.00),$0.00 ,won,$8.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,59,$7.36 ,$0.00 ,$4.32 ,won,$7.36 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,60,$12.00 ,($3.00),$0.00 ,lost,($3.00),1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,61,$9.00 ,($15.75),$0.00 ,won,$9.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,62,$12.00 ,($15.00),$0.00 ,lost,($15.00),1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,63,$8.00 ,($1.33),$0.00 ,won,$8.00 ,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,64,$9.00 ,($0.75),$0.00 ,lost,($0.75),5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,65,$22.47 ,$0.00 ,$12.76 ,won,$22.47 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
66,66,$9.00 ,($9.00),$0.00 ,won,$9.00 ,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,67,$23.60 ,$0.00 ,$12.20 ,lost,$0.00 ,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
68,68,$6.00 ,($3.00),$0.00 ,won,$6.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
69,69,$25.76 ,$0.00 ,$11.12 ,lost,$0.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
70,70,$5.00 ,($5.00),$0.00 ,lost,($5.00),1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
71,71,$18.65 ,$0.00 ,$6.68 ,lost,$0.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
72,72,$4.00 ,($4.00),$0.00 ,lost,($4.00),3,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
73,73,$8.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
74,74,$10.00 ,($16.25),$0.00 ,lost,($16.25),1.5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
75,75,$10.00 ,($1.25),$0.00 ,won,$10.00 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
76,76,$8.00 ,($6.00),$0.00 ,lost,($6.00),5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
77,77,$8.00 ,($3.00),$0.00 ,won,$8.00 ,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
78,78,$10.00 ,($13.75),$0.00 ,won,$10.00 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
79,79,$31.29 ,$0.00 ,$8.36 ,won,$31.29 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,80,$9.00 ,($6.75),$0.00 ,won,$9.00 ,3,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,81,$4.00 ,($3.00),$0.00 ,lost,($3.00),3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,82,$6.00 ,($1.50),$0.00 ,lost,($1.50),3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,83,$6.00 ,($12.00),$0.00 ,lost,($12.00),1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,84,$2.00 ,($2.25),$0.00 ,won,$2.00 ,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
85,85,$16.29 ,$0.00 ,$7.85 ,won,$16.29 ,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
86,86,$6.00 ,($6.00),$0.00 ,won,$6.00 ,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
87,87,$12.00 ,($6.00),$0.00 ,won,$12.00 ,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
88,88,$9.00 ,($11.25),$0.00 ,lost,($11.25),3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
89,89,$8.00 ,($15.00),$0.00 ,won,$8.00 ,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
90,90,$10.00 ,($0.42),$0.00 ,lost,($0.42),1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
91,91,$8.22 ,$0.00 ,$3.89 ,won,$8.22 ,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
92,92,$4.00 ,($1.00),$0.00 ,lost,($1.00),1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
93,93,$8.00 ,($11.00),$0.00 ,lost,($11.00),1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
94,94,$6.00 ,($0.25),$0.00 ,lost,($0.25),5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
95,95,$4.00 ,($5.00),$0.00 ,won,$4.00 ,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
96,96,$6.87 ,$0.00 ,$4.57 ,won,$6.87 ,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
