Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
1,1,$4.00 ,$0.00 ,$2.25 ,won,$4.00 ,1.5,1.5,1
2,1,$6.00 ,($9.00),$0.00 ,won,$6.00 ,5,1.5,1
3,1,$9.00 ,($4.50),$0.00 ,won,$9.00 ,3,1.5,1
4,1,$5.00 ,($0.63),$0.00 ,lost,($0.63),1.5,3,1
5,1,$19.00 ,$0.00 ,$8.00 ,lost,$0.00 ,5,1.5,1
6,1,$5.00 ,($5.00),$0.00 ,won,$5.00 ,1.5,3,1
7,1,$6.00 ,($3.00),$0.00 ,lost,($3.00),5,1.5,1
8,1,$4.00 ,($5.00),$0.00 ,lost,($5.00),1.5,5,1
9,1,$7.00 ,$0.00 ,$3.00 ,won,$7.00 ,1.5,3,1
10,1,$10.00 ,$0.00 ,$1.90 ,won,$10.00 ,5,7,1
11,1,$10.00 ,($13.75),$0.00 ,lost,($13.75),3,5,1
12,1,$8.00 ,($1.33),$0.00 ,won,$8.00 ,5,5,1
13,1,$5.00 ,($6.88),$0.00 ,lost,($6.88),1.5,1.5,1
14,1,$4.00 ,($1.00),$0.00 ,won,$4.00 ,3,3,1
15,1,$4.00 ,($3.00),$0.00 ,won,$4.00 ,1.5,5,1
16,1,$4.00 ,($2.00),$0.00 ,won,$4.00 ,3,1.5,1
17,1,$6.00 ,($7.50),$0.00 ,won,$6.00 ,1.5,1.5,1
18,1,$2.00 ,($3.25),$0.00 ,lost,($3.25),1.5,5,1
19,1,$2.00 ,($2.75),$0.00 ,lost,($2.75),1.5,1.5,1
20,1,$2.00 ,($1.75),$0.00 ,won,$2.00 ,3,3,1
21,1,$4.00 ,($7.00),$0.00 ,lost,($7.00),1.5,7,1
22,1,$5.00 ,($5.63),$0.00 ,lost,($5.63),3,3,1
23,1,$4.00 ,($4.00),$0.00 ,lost,($4.00),1.5,1.5,1
24,1,$25.00 ,$0.00 ,$9.00 ,won,$25.00 ,1.5,1.5,1
25,1,$17.00 ,$0.00 ,$10.00 ,lost,$0.00 ,5,7,1
26,1,$8.00 ,($13.00),$0.00 ,won,$8.00 ,1.5,5,1
27,1,$7.00 ,$0.00 ,$4.00 ,lost,$0.00 ,1.5,7,1
28,1,$14.00 ,$0.00 ,$1.68 ,won,$14.00 ,1.5,3,1
29,1,$8.00 ,$0.00 ,$3.00 ,won,$8.00 ,1.5,3,1
30,1,$9.00 ,($6.75),$0.00 ,lost,($6.75),1.5,1.5,1
31,1,$24.00 ,$0.00 ,$12.00 ,lost,$0.00 ,3,1.5,1
32,1,$9.00 ,($11.25),$0.00 ,lost,($11.25),3,1.5,1
