Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
33,1,$4.00 ,($0.33),$0.00 ,won,$4.00 ,1.5,5,2
34,1,$12.00 ,($12.00),$0.00 ,lost,($12.00),3,1.5,2
35,1,$12.00 ,($15.00),$0.00 ,lost,($15.00),5,5,2
36,1,$8.00 ,($15.00),$0.00 ,lost,($15.00),1.5,3,2
37,1,$6.00 ,($4.50),$0.00 ,won,$6.00 ,1.5,5,2
38,1,$5.00 ,($2.50),$0.00 ,won,$5.00 ,3,7,2
39,1,$12.00 ,($24.00),$0.00 ,won,$12.00 ,3,3,2
40,1,$6.00 ,($0.25),$0.00 ,lost,($0.25),1.5,1.5,2
41,1,$10.00 ,($3.75),$0.00 ,lost,($3.75),1.5,7,2
42,1,$4.00 ,($6.00),$0.00 ,won,$4.00 ,3,1.5,2
43,1,$6.00 ,($1.50),$0.00 ,lost,($1.50),1.5,3,2
44,1,$8.00 ,$0.00 ,$4.25 ,won,$8.00 ,1.5,5,2
45,1,$9.00 ,($0.75),$0.00 ,lost,($0.75),1.5,7,2
46,1,$12.00 ,($3.00),$0.00 ,won,$12.00 ,1.5,3,2
47,1,$12.00 ,$0.00 ,$4.00 ,lost,$0.00 ,3,7,2
48,1,$9.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,2
49,1,$6.00 ,($6.00),$0.00 ,lost,($6.00),5,5,2
50,1,$8.00 ,($11.00),$0.00 ,lost,($11.00),3,1.5,2
51,1,$8.00 ,($3.00),$0.00 ,lost,($3.00),1.5,1.5,2
52,1,$8.00 ,($7.00),$0.00 ,won,$8.00 ,1.5,3,2
53,1,$5.00 ,$0.00 ,$3.00 ,lost,$0.00 ,1.5,1.5,2
54,1,$30.00 ,$0.00 ,$12.00 ,won,$30.00 ,1.5,3,2
55,1,$10.00 ,($11.25),$0.00 ,won,$10.00 ,5,3,2
56,1,$2.00 ,($1.25),$0.00 ,lost,($1.25),1.5,1.5,2
57,1,$8.00 ,($9.00),$0.00 ,won,$8.00 ,3,1.5,2
58,1,$2.00 ,($3.75),$0.00 ,won,$2.00 ,1.5,1.5,2
59,1,$11.00 ,$0.00 ,$6.00 ,won,$11.00 ,1.5,1.5,2
60,1,$12.00 ,($18.00),$0.00 ,lost,($18.00),1.5,3,2
61,1,$5.00 ,($4.38),$0.00 ,won,$5.00 ,5,1.5,2
62,1,$12.00 ,($9.00),$0.00 ,lost,($9.00),1.5,5,2
63,1,$8.00 ,($6.00),$0.00 ,lost,($6.00),5,1.5,2
64,1,$8.00 ,($5.00),$0.00 ,won,$8.00 ,3,1.5,2
65,1,$13.00 ,$0.00 ,$6.00 ,won,$13.00 ,5,1.5,3
66,1,$6.00 ,($10.50),$0.00 ,won,$6.00 ,1.5,3,3
67,1,$9.00 ,($2.25),$0.00 ,won,$9.00 ,5,5,3
68,1,$13.00 ,$0.00 ,$5.00 ,lost,$0.00 ,1.5,7,3
69,1,$3.25 ,$0.00 ,$1.00 ,won,$3.25 ,1.5,3,3
70,1,$10.00 ,($0.42),$0.00 ,lost,($0.42),1.5,1.5,3
71,1,$10.00 ,($16.25),$0.00 ,won,$10.00 ,3,3,3
72,1,$2.00 ,($2.25),$0.00 ,lost,($2.25),3,5,3
73,1,$12.00 ,$0.00 ,$5.00 ,lost,$0.00 ,1.5,5,3
74,1,$10.00 ,$0.00 ,$6.00 ,won,$10.00 ,3,1.5,3
75,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,3,7,3
76,1,$22.00 ,$0.00 ,$13.00 ,won,$22.00 ,3,1.5,3
77,1,$10.00 ,($6.25),$0.00 ,lost,($6.25),1.5,1.5,3
78,1,$4.00 ,($0.67),$0.00 ,lost,($0.67),1.5,5,3
79,1,$6.00 ,($12.00),$0.00 ,lost,($12.00),1.5,3,3
80,1,$9.00 ,($15.75),$0.00 ,lost,($15.75),1.5,3,3
81,1,$5.00 ,$0.00 ,$2.00 ,won,$5.00 ,1.5,1.5,3
82,1,$8.00 ,($2.00),$0.00 ,lost,($2.00),3,5,3
83,1,$5.00 ,($1.88),$0.00 ,lost,($1.88),5,1.5,3
84,1,$17.00 ,$0.00 ,$9.00 ,won,$17.00 ,1.5,7,3
85,1,$28.00 ,$0.00 ,$13.00 ,lost,$0.00 ,5,1.5,3
86,1,$26.00 ,$0.00 ,$10.00 ,lost,$0.00 ,3,3,3
87,1,$22.00 ,$0.00 ,$10.00 ,lost,$0.00 ,1.5,7,3
88,1,$10.00 ,($1.25),$0.00 ,lost,($1.25),1.5,1.5,3
89,1,$25.00 ,$0.00 ,$6.25 ,won,$25.00 ,1.5,1.5,3
90,1,$4.00 ,$0.00 ,$2.00 ,won,$4.00 ,1.5,1.5,3
91,1,$12.00 ,($6.00),$0.00 ,won,$12.00 ,1.5,5,3
92,1,$10.00 ,($8.75),$0.00 ,won,$10.00 ,1.5,1.5,3
93,1,$5.00 ,($3.13),$0.00 ,won,$5.00 ,5,1.5,3
94,1,$9.00 ,($13.50),$0.00 ,lost,($13.50),5,3,3
95,1,$12.00 ,($21.00),$0.00 ,won,$12.00 ,3,3,3
96,1,$5.00 ,($8.13),$0.00 ,won,$5.00 ,1.5,1.5,3
