TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift,,,
17,17,0,$4.00 ,($0.67),$0.00 ,won,$4.00 ,1.5,1.5,1,1,16,182.7073,2,184.71776,185.11671,2.010443,0.010442962,0.39895734,185.23045,0.5127063,-1.4872937,188.45193,3.2010427,3.2214718,0.02042925,188.45935,1.000427,0.000426955,189.45978,6.7524657,189.47871,got here,190.97998,1.5,1.5012718,0.001271823,,,
18,18,0,$8.00 ,$0.00 ,$4.00 ,lost,$0.00 ,1.5,5,1,1,17,190.99986,1,193.00473,193.3887,2.0048637,0.004863829,0.38397497,193.49844,0.4937104,-1.5062896,196.722,3.216025,3.2235532,0.007528247,196.73183,1.0003146,0.000314598,197.73213,6.7322683,197.75053,got here,202.7509,5,5.000371,0.000371213,,,
19,19,0,$10.00 ,($11.25),$0.00 ,lost,($11.25),3,1.5,1,1,18,202.76964,1,204.76945,204.91939,1.9998184,-0.000181609,0.14992036,205.02817,0.2587044,-1.7412956,209.98663,4.9500794,4.958468,0.0083881,210.00026,1.0009818,0.000981772,211.00125,8.231602,211.01941,got here,212.52063,1.5,1.5012246,0.0012246,,,
20,20,0,$5.00 ,($2.50),$0.00 ,lost,($2.50),3,3,1,1,19,212.53871,1,214.54533,214.81244,2.006631,0.006631,0.2670902,214.92079,0.37545514,-1.6245449,219.76393,4.8329096,4.843129,0.010219221,219.7764,1.0007446,0.000744602,220.77715,8.238437,220.79523,got here,223.79546,3,3.000229,0.000228888,,,
21,21,0,$6.00 ,($4.50),$0.00 ,won,$6.00 ,5,7,1,1,20,223.81187,1,225.82573,226.0927,2.0138595,0.013859451,0.26696548,226.2012,0.3754786,-1.6245214,233.04396,6.8330345,6.842748,0.009713716,233.06207,1.00036,0.000359991,234.06244,10.250571,234.08067,got here,241.08093,7,7.0002584,0.000258425,,,
22,22,0,$22.40 ,$0.00 ,$4.80 ,won,$22.40 ,3,3,1,1,21,241.10066,1,243.10522,243.25555,2.0045602,0.004560214,0.1503356,243.3639,0.25868303,-1.7413169,248.32356,4.9496646,4.9596667,0.010002376,248.33598,1.0003506,0.000350587,249.33633,8.235679,249.35556,got here,252.35605,3,3.0004907,0.000490657,,,
23,23,0,$14.49 ,$0.00 ,$8.75 ,won,$14.49 ,1.5,1.5,1,1,22,252.37648,2,254.38525,255.00323,2.0087821,0.008782164,0.61796814,255.11185,0.7265843,-1.2734157,258.10318,2.9820318,2.9913497,0.009317731,258.11188,1.0004423,0.000442319,259.1123,6.7358346,259.13147,got here,260.63168,1.5,1.5002074,0.000207401,,,
24,24,0,$4.00 ,($0.33),$0.00 ,won,$4.00 ,1.5,1.5,1,1,23,260.6578,2,262.65726,263.04175,1.9994658,-0.000534233,0.38448954,263.15527,0.49800915,-1.5019908,266.3927,3.2155104,3.2374253,0.021914927,266.40067,1.0001361,0.000136154,267.4008,6.742991,267.41998,got here,268.92072,1.5,1.5007198,0.000719782,,,
25,25,0,$2.00 ,($3.75),$0.00 ,won,$2.00 ,1.5,7,1,1,24,268.9408,2,270.94626,271.23026,2.0054457,0.005445658,0.28401926,271.34424,0.39798135,-1.6020186,274.6804,3.3159807,3.3361676,0.020186864,274.68988,1.0004287,0.000428688,275.6903,6.7495036,275.70862,got here,282.70984,7,7.001215,0.001214938,,,
26,26,0,$9.00 ,($4.50),$0.00 ,won,$9.00 ,1.5,5,1,1,25,282.72696,1,284.733,285.11688,2.0060146,0.006014639,0.38390154,285.232,0.49901316,-1.5009868,288.47272,3.2160985,3.2407084,0.024609985,288.49304,1.0006065,0.000606577,289.49365,6.7666755,289.51242,got here,294.51306,5,5.0006366,0.000636417,,,
27,27,0,$12.00 ,($12.00),$0.00 ,won,$12.00 ,5,7,1,1,26,294.53503,2,296.54803,296.93216,2.0130098,0.013009725,0.38411906,297.0421,0.49407253,-1.5059274,303.76492,6.715881,6.7228146,0.006933539,303.7839,1.0010422,0.001042188,304.78494,10.249904,304.80374,got here,311.80493,7,7.001194,0.001194117,,,
28,28,0,$12.00 ,($18.00),$0.00 ,lost,($18.00),1.5,3,1,1,27,311.81937,2,313.82745,314.212,2.0080726,0.008072621,0.38455454,314.3211,0.49364263,-1.5063574,317.54425,3.2154455,3.223149,0.007703482,317.5537,1.0013446,0.001344558,318.55505,6.735675,318.57413,got here,321.57477,3,3.000638,0.000638025,,,
29,29,0,$6.00 ,($7.50),$0.00 ,lost,($7.50),1.5,3,1,1,28,321.59735,2,323.60352,323.98767,2.0061784,0.006178457,0.38413358,324.09744,0.49392512,-1.5060749,327.32205,3.2158663,3.224615,0.00874878,327.3308,1.000914,0.000914011,328.33173,6.734376,328.34927,got here,331.35037,3,3.0011115,0.001111546,,,
30,30,0,$2.00 ,($3.25),$0.00 ,won,$2.00 ,1.5,1.5,1,1,29,331.36923,2,333.37964,333.41263,2.0103967,0.01039668,0.033008516,333.57196,0.19231735,-1.8076826,337.14703,3.5669916,3.575087,0.00809564,337.15735,1.0007188,0.000718834,338.15805,6.7888265,338.1762,got here,339.67755,1.5,1.5013541,0.001354132,,,
31,31,0,$17.38 ,$0.00 ,$7.31 ,lost,$0.00 ,3,1.5,1,1,30,339.7094,2,341.71875,342.1028,2.0093403,0.009340384,0.38404155,342.21182,0.49305907,-1.506941,346.93723,4.7159586,4.725394,0.009435403,346.95,1.0008755,0.00087551,347.9509,8.241472,347.96927,got here,349.47083,1.5,1.501568,0.001567973,,,
32,32,0,$8.00 ,($2.00),$0.00 ,won,$8.00 ,1.5,1.5,1,1,31,349.4923,1,351.49478,351.7618,2.002463,0.002463074,0.26704082,351.87155,0.37677082,-1.6232291,355.21274,3.3329592,3.3411806,0.008221385,355.22247,1.0002899,0.000289888,356.22278,6.7304673,356.24054,last trial of block,356.24054,nan,1.97E-05,nan,,,
33,33,0,$5.00 ,($5.63),$0.00 ,won,$5.00 ,5,1.5,2,1,32,358.9018,1,360.9031,361.40448,2.00129,0.001290019,0.50139403,361.51447,0.6113593,-1.3886406,368.12024,6.598606,6.605777,0.007170837,368.13904,1.0012953,0.001295384,369.14035,10.238544,369.1587,got here,370.6592,1.5,1.5005193,0.000519286,,,
