Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
1,2,$10.67 ,$0.00,$10.67 ,won,$10.67,1.5,5,1
2,2,$2.00 ,-$3.75,$0.00 ,won,$2.00,1.5,1.5,1
3,2,$12.00 ,-$9.00,$0.00 ,won,$12.00,1.5,5,1
4,2,$25.76 ,$0.00,$11.12 ,lost,$0.00,5,7,1
5,2,$10.00 ,-$3.75,$0.00 ,won,$10.00,3,3,1
6,2,$2.00 ,-$1.25,$0.00 ,lost,-$1.25,3,1.5,1
7,2,$8.00 ,-$13.00,$0.00 ,lost,-$13.00,3,1.5,1
8,2,$5.00 ,-$4.38,$0.00 ,won,$5.00,1.5,1.5,1
9,2,$10.00 ,-$6.25,$0.00 ,won,$10.00,1.5,3,1
10,2,$21.43 ,$0.00,$13.29 ,won,$21.43,3,5,1
11,2,$2.00 ,-$2.25,$0.00 ,lost,-$2.25,1.5,3,1
12,2,$4.00 ,-$6.00,$0.00 ,won,$4.00,3,1.5,1
13,2,$6.00 ,-$0.25,$0.00 ,won,$6.00,1.5,1.5,1
14,2,$5.00 ,-$2.50,$0.00 ,won,$5.00,5,1.5,1
15,2,$4.00 ,-$1.00,$0.00 ,lost,-$1.00,1.5,3,1
16,2,$8.00 ,-$6.00,$0.00 ,won,$8.00,1.5,1.5,1
17,2,$26.76 ,$0.00,$10.62 ,lost,$0.00,1.5,1.5,1
18,2,$12.00 ,-$15.00,$0.00 ,lost,-$15.00,5,5,1
19,2,$8.00 ,-$11.00,$0.00 ,lost,-$11.00,1.5,5,1
20,2,$10.00 ,-$1.25,$0.00 ,lost,-$1.25,1.5,1.5,1
21,2,$12.00 ,-$21.00,$0.00 ,lost,-$21.00,5,7,1
22,2,$8.00 ,-$3.00,$0.00 ,won,$8.00,3,3,1
23,2,$10.00 ,-$8.75,$0.00 ,lost,-$8.75,5,5,1
24,2,$22.40 ,$0.00,$4.80 ,lost,$0.00,1.5,7,1
25,2,$24.92 ,$0.00,$11.54 ,won,$24.92,5,1.5,1
26,2,$12.00 ,-$6.00,$0.00 ,won,$12.00,3,3,1
27,2,$8.80 ,$0.00,$3.60 ,won,$8.80,1.5,1.5,1
28,2,$9.00 ,-$9.00,$0.00 ,lost,-$9.00,1.5,3,1
29,2,$8.00 ,-$1.33,$0.00 ,won,$8.00,1.5,7,1
30,2,$5.00 ,-$6.88,$0.00 ,lost,-$6.88,1.5,3,1
31,2,$16.79 ,$0.00,$7.60 ,lost,$0.00,1.5,1.5,1
32,2,$4.00 ,-$2.00,$0.00 ,lost,-$2.00,3,1.5,1
33,2,$12.00 ,-$24.00,$0.00 ,lost,-$24.00,3,1.5,2
34,2,$4.00 ,-$5.00,$0.00 ,lost,-$5.00,3,5,2
35,2,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,2
36,2,$10.00 ,-$13.75,$0.00 ,lost,-$13.75,1.5,3,2
37,2,$4.00 ,-$4.00,$0.00 ,lost,-$4.00,1.5,7,2
38,2,$2.00 ,-$0.75,$0.00 ,won,$2.00,5,3,2
39,2,$17.38 ,$0.00,$7.31 ,lost,$0.00,5,1.5,2
40,2,$10.00 ,-$16.25,$0.00 ,won,$10.00,5,5,2
41,2,$12.00 ,-$18.00,$0.00 ,lost,-$18.00,1.5,3,2
42,2,$6.00 ,-$1.50,$0.00 ,lost,-$1.50,5,3,2
43,2,$5.00 ,-$0.63,$0.00 ,lost,-$0.63,1.5,1.5,2
44,2,$32.00 ,$0.00,$0.00 ,won,$32.00,3,1.5,2
45,2,$13.25 ,$0.00,$9.37 ,won,$13.25,1.5,1.5,2
46,2,$24.21 ,$0.00,$11.89 ,lost,$0.00,1.5,5,2
47,2,$2.00 ,-$3.25,$0.00 ,lost,-$3.25,1.5,5,2
48,2,$8.49 ,$0.00,$3.76 ,won,$8.49,1.5,1.5,2
49,2,$2.00 ,-$1.75,$0.00 ,won,$2.00,1.5,3,2
50,2,$8.00 ,-$5.00,$0.00 ,won,$8.00,1.5,3,2
51,2,$5.00 ,-$8.13,$0.00 ,won,$5.00,1.5,7,2
52,2,$6.00 ,-$3.00,$0.00 ,won,$6.00,3,1.5,2
53,2,$6.00 ,-$4.50,$0.00 ,won,$6.00,5,1.5,2
54,2,$7.81 ,$0.00,$4.10 ,lost,$0.00,1.5,3,2
55,2,$18.65 ,$0.00,$6.68 ,won,$18.65,3,7,2
56,2,$10.00 ,-$11.25,$0.00 ,won,$10.00,5,3,2
57,2,$9.00 ,-$15.75,$0.00 ,won,$9.00,3,1.5,2
58,2,$5.00 ,-$5.00,$0.00 ,lost,-$5.00,1.5,5,2
59,2,$22.47 ,$0.00,$12.76 ,lost,$0.00,1.5,1.5,2
60,2,$4.00 ,-$3.00,$0.00 ,won,$4.00,1.5,1.5,2
61,2,$9.00 ,-$11.25,$0.00 ,lost,-$11.25,1.5,7,2
62,2,$15.28 ,$0.00,$8.36 ,lost,$0.00,3,1.5,2
63,2,$5.00 ,-$3.13,$0.00 ,won,$5.00,3,5,2
64,2,$31.29 ,$0.00,$8.36 ,won,$31.29,1.5,1.5,2
65,2,$14.49 ,$0.00,$8.75 ,won,$14.49,3,3,3
66,2,$12.00 ,-$12.00,$0.00 ,won,$12.00,3,3,3
67,2,$5.00 ,-$5.63,$0.00 ,won,$5.00,1.5,1.5,3
68,2,$10.00 ,-$0.42,$0.00 ,lost,-$0.42,3,1.5,3
69,2,$8.00 ,-$9.00,$0.00 ,lost,-$9.00,1.5,5,3
70,2,$6.00 ,-$12.00,$0.00 ,won,$6.00,1.5,1.5,3
71,2,$9.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,3
72,2,$6.00 ,-$6.00,$0.00 ,lost,-$6.00,1.5,3,3
73,2,$13.35 ,$0.00,$1.32 ,won,$13.35,1.5,1.5,3
74,2,$6.00 ,-$7.50,$0.00 ,won,$6.00,1.5,3,3
75,2,$4.00 ,-$0.67,$0.00 ,won,$4.00,1.5,1.5,3
76,2,$4.00 ,-$0.33,$0.00 ,lost,-$0.33,3,1.5,3
77,2,$7.36 ,$0.00,$4.32 ,won,$7.36,5,5,3
78,2,$6.00 ,-$10.50,$0.00 ,lost,-$10.50,5,3,3
79,2,$8.00 ,-$15.00,$0.00 ,won,$8.00,3,7,3
80,2,$9.82 ,$0.00,$3.09 ,won,$9.82,1.5,1.5,3
81,2,$6.00 ,-$9.00,$0.00 ,won,$6.00,1.5,3,3
82,2,$9.00 ,-$13.50,$0.00 ,lost,-$13.50,1.5,7,3
83,2,$15.86 ,$0.00,$8.07 ,lost,$0.00,3,1.5,3
84,2,$12.00 ,-$3.00,$0.00 ,lost,-$3.00,1.5,5,3
85,2,$9.00 ,-$6.75,$0.00 ,lost,-$6.75,1.5,3,3
86,2,$8.00 ,-$7.00,$0.00 ,won,$8.00,1.5,1.5,3
87,2,$8.00 ,-$2.00,$0.00 ,won,$8.00,5,5,3
88,2,$9.00 ,-$2.25,$0.00 ,lost,-$2.25,5,1.5,3
89,2,$5.00 ,-$1.88,$0.00 ,lost,-$1.88,1.5,5,3
90,2,$23.60 ,$0.00,$12.20 ,won,$23.60,5,1.5,3
91,2,$9.00 ,-$4.50,$0.00 ,lost,-$4.50,1.5,3,3
92,2,$6.87 ,$0.00,$4.57 ,lost,$0.00,1.5,5,3
93,2,$16.29 ,$0.00,$7.85 ,lost,$0.00,5,1.5,3
94,2,$8.22 ,$0.00,$3.89 ,lost,$0.00,1.5,7,3
95,2,$8.00 ,$0.00,$4.00 ,won,$8.00,1.5,7,3
96,2,$2.00 ,-$2.75,$0.00 ,lost,-$2.75,3,1.5,3
